"","Protein","Total.Fat","Carbohydrate","Alcohol","Water","Caffeine","Theobromine","Sugars..total","Fiber..total.dietary","Calcium","Iron","Magnesium","Phosphorus","Potassium","Sodium","Zinc","Copper","Selenium","Retinol","Carotene..beta","Carotene..alpha","Vitamin.E..alpha.tocopherol.","Vitamin.D..D2...D3.","Cryptoxanthin..beta","Lycopene","Lutein...zeaxanthin","Vitamin.C","Thiamin","Riboflavin","Niacin","Vitamin.B.6","Folate..total","Vitamin.B.12","Choline..total","Vitamin.K..phylloquinone.","Folic.acid","Folate..food","Vitamin.E..added","Vitamin.B.12..added","Cholesterol","Fatty.acids..total.saturated","X4.00","X6.00","X8.00","X10.00","X12.00","X14.00","X16.00","X18.00","X18.01","X18.02","X18.03","X20.04","X22.6.n.3","X16.01","X18.04","X20.01","X20.5.n.3","X22.01","X22.5.n.3","Fatty.acids..total.monounsaturated","Fatty.acids..total.polyunsaturated","min_FPro","max_p","class","Food code"
"2",3.29999999999999,1.98,4.80000000000002,2.06115362243856e-09,89.2099999999998,2.06115362243856e-09,2.06115362243856e-09,5.05999999999998,2.06115362243856e-09,0.12,1.99999999999997e-05,0.011,0.0919999999999997,0.14,0.0469999999999999,0.000479999999999999,6.00000000000012e-06,2.50000000000005e-06,5.50000000000002e-05,3.99999998737753e-06,2.06115362243856e-09,3.00000000000006e-05,1.20000000000002e-06,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.000199999999999999,3.90000000000011e-05,0.000185,9.20000000000004e-05,3.79999999999995e-05,4.99999999999987e-06,5.30000000000023e-07,0.0164000000000001,1.99999999999995e-07,2.06115362243856e-09,4.99999999999987e-06,2.06115362243856e-09,2.06115362243856e-09,0.00800000000000001,1.257,0.0770000000000002,0.04,0.0199999999999999,0.049,0.0549999999999998,0.175000000000001,0.558,0.243,0.508,0.0619999999999997,0.00800000000000001,2.06115362243856e-09,2.06115362243856e-09,0.0269999999999999,2.06115362243856e-09,0.002,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.56,0.0729999999999997,0,"p1",0,11112110
"5",3.37,0.97,4.99000000000001,2.06115362243856e-09,89.9199999999999,2.06115362243856e-09,2.06115362243856e-09,5.19999999999999,2.06115362243856e-09,0.124999999999999,3.00000000000006e-05,0.011,0.0949999999999996,0.15,0.0439999999999998,0.00042,1.00000000000003e-05,3.30000000000013e-06,5.79999999999997e-05,2.00000000000006e-06,2.06115362243856e-09,1.00000000000003e-05,1.20000000000002e-06,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,1.99999999999997e-05,0.000185,9.29999999999999e-05,3.70000000000018e-05,4.99999999999987e-06,4.70000000000003e-07,0.0177000000000001,1.00000000000002e-07,2.06115362243856e-09,4.99999999999987e-06,2.06115362243856e-09,2.06115362243856e-09,0.00499999999999998,0.633,0.024,0.0180000000000001,0.013,0.0269999999999999,0.0290000000000001,0.0909999999999997,0.286999999999999,0.126,0.25,0.0300000000000001,0.00399999999999999,2.06115362243856e-09,2.06115362243856e-09,0.017,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.277,0.0350000000000001,0,"p1",0,11112210
"6",3.37,0.0799999999999996,4.96000000000002,2.06115362243856e-09,90.8400000000002,2.06115362243856e-09,2.06115362243856e-09,5.08999999999999,2.06115362243856e-09,0.122,3.00000000000006e-05,0.011,0.101,0.156,0.0419999999999999,0.00042,1.30000000000005e-05,3.09999999999992e-06,6.10000000000002e-05,2.06115362243856e-09,2.06115362243856e-09,1.00000000000003e-05,1.20000000000002e-06,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,4.49999999999979e-05,0.000182,9.4e-05,3.70000000000018e-05,4.99999999999987e-06,5.0000000000001e-07,0.0155999999999999,2.06115362243856e-09,2.06115362243856e-09,4.99999999999987e-06,2.06115362243856e-09,2.06115362243856e-09,0.002,0.0559999999999999,0.00399999999999999,2.06115362243856e-09,0.000999999999999997,0.002,0.000999999999999997,0.00800000000000001,0.0249999999999999,0.00899999999999998,0.0180000000000001,0.002,0.000999999999999997,2.06115362243856e-09,2.06115362243856e-09,0.00299999999999999,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.0219999999917241,0.00299999999999999,0,"p1",0,11113000
"10",3.37,0.97,4.99000000000001,2.06115362243856e-09,89.9199999999999,2.06115362243856e-09,2.06115362243856e-09,5.19999999999999,2.06115362243856e-09,0.124999999999999,3.00000000000006e-05,0.011,0.0949999999999996,0.15,0.0439999999999998,0.00042,1.00000000000003e-05,3.30000000000013e-06,5.79999999999997e-05,2.00000000000006e-06,2.06115362243856e-09,1.00000000000003e-05,1.20000000000002e-06,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,1.99999999999997e-05,0.000185,9.29999999999999e-05,3.70000000000018e-05,4.99999999999987e-06,4.70000000000003e-07,0.0177000000000001,1.00000000000002e-07,2.06115362243856e-09,4.99999999999987e-06,2.06115362243856e-09,2.06115362243856e-09,0.00499999999999998,0.633,0.024,0.0180000000000001,0.013,0.0269999999999999,0.0290000000000001,0.0909999999999997,0.286999999999999,0.126,0.25,0.0300000000000001,0.00399999999999999,2.06115362243856e-09,2.06115362243856e-09,0.017,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.277,0.0350000000000001,0,"p1",0,11114300
"11",1.03,4.37999999999998,6.89000000000002,2.06115362243856e-09,87.5000000000001,2.06115362243856e-09,2.06115362243856e-09,6.89000000000002,2.06115362243856e-09,0.032,3.00000000000006e-05,0.00299999999999999,0.014,0.0510000000000001,0.017,0.00017,5.19999999999998e-05,1.79999999999992e-06,6.00000000000002e-05,6.99999999999973e-06,2.06115362243856e-09,8.00000000000001e-05,1.00000000000002e-07,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.00499999999999998,1.40000000000002e-05,3.59999999999987e-05,0.000176999999999999,1.1e-05,4.99999999999987e-06,4.99999999999983e-08,0.0159999999999999,3.00000000000003e-07,2.06115362243856e-09,4.99999999999987e-06,2.06115362243856e-09,2.06115362243856e-09,0.014,2.009,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.0630000000000003,0.256000000000001,0.321,0.919,0.293,1.475,0.374,0.052,0.0259999999999999,2.06115362243856e-09,0.129000000000001,2.06115362243856e-09,0.04,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,1.658,0.497,0.0582870370370371,"p1",0,11000000
"12",3.27999999999999,1.95,4.84999999999999,2.06115362243856e-09,89.2200000000002,2.06115362243856e-09,2.06115362243856e-09,5.08,2.06115362243856e-09,0.119,3.00000000000006e-05,0.011,0.0909999999999997,0.141999999999999,0.0439999999999998,0.000429999999999998,1.39999999768862e-05,3.09999999999992e-06,5.30000000000001e-05,3.99999999999993e-06,2.06115362243856e-09,4.00000000000015e-05,1.20000000000002e-06,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,1e-04,4.00000000000015e-05,0.000180000000000001,9.20000000000004e-05,3.70000000000018e-05,4.99999999999987e-06,4.90000000000019e-07,0.0157999999999999,1.99999999999995e-07,2.06115362243856e-09,4.99999999999987e-06,2.06115362243856e-09,2.06115362243856e-09,0.00700000000000003,1.164,0.0569999999999998,0.041,0.0329999999999999,0.0479999999999998,0.0510000000000001,0.182,0.522,0.224999999999999,0.483,0.0670000000000001,0.0269999999999999,2.06115362243856e-09,2.06115362243856e-09,0.013,2.06115362243856e-09,0.000999999999999997,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.507,0.0940000000000003,0.0052777777777778,"p1",0,11100000
"13",3.14999999999999,3.25000000000001,4.80000000000002,2.06115362243856e-09,88.1300000000001,2.06115362243856e-09,2.06115362243856e-09,5.05000000000001,2.06115362243856e-09,0.113,3.00000000000006e-05,0.01,0.0840000000000003,0.132,0.0430000000000002,0.000370000000120622,2.49999999999994e-05,3.69999999999998e-06,4.49999999187279e-05,6.99999999999973e-06,2.06115362243856e-09,6.99999999999996e-05,1.29999999999998e-06,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,4.59999999999999e-05,0.000169,8.90000000000003e-05,3.59999999999987e-05,4.99999999999987e-06,4.50000000000021e-07,0.0142999999999999,3.00000000000003e-07,2.06115362243856e-09,4.99999999999987e-06,2.06115362243856e-09,2.06115362243856e-09,0.01,1.865,0.0749999999999998,0.0749999999999998,0.0749999999999998,0.0749999999999998,0.0770000000000002,0.296999999999999,0.829,0.364999999999998,0.812,0.12,0.0749999999999998,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.812,0.195,0.00277777777777777,"p1",0,11111000
"19",3.37,0.0799999999999996,4.96000000000002,2.06115362243856e-09,90.8400000000002,2.06115362243856e-09,2.06115362243856e-09,5.08999999999999,2.06115362243856e-09,0.122000000030363,3.00000000000006e-05,0.011,0.101,0.156,0.0419999999999999,0.00042,1.30000000000005e-05,3.09999999999992e-06,6.10000000000002e-05,2.06115362243856e-09,2.06115362243856e-09,1.00000000000003e-05,1.20000000000002e-06,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,4.49999999999979e-05,0.000182,9.4e-05,3.70000000000018e-05,4.99999999999987e-06,5.0000000000001e-07,0.0155999999999999,2.06115362243856e-09,2.06115362243856e-09,4.99999999999987e-06,2.06115362243856e-09,2.06115362243856e-09,0.002,0.0559999999999999,0.00399999999999999,2.06115362243856e-09,0.000999999999999997,0.002,0.000999999999999997,0.00800000000000001,0.0249999999999999,0.00899999999999998,0.0180000000000001,0.002,0.000999999999999997,2.06115362243856e-09,2.06115362243856e-09,0.00299999999999999,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.022,0.00299999999999999,0,"p1",0,11114320
"21",3.29999999999999,1.98,4.80000000000002,2.06115362243856e-09,89.2099999999998,2.06115362243856e-09,2.06115362243856e-09,5.05999999999998,2.06115362243856e-09,0.12,1.99999999999997e-05,0.011,0.0919999999999997,0.14,0.0469999999999999,0.000479999999999999,6.00000000000012e-06,2.50000000000005e-06,5.50000000000002e-05,3.99999998737753e-06,2.06115362243856e-09,3.00000000000006e-05,1.20000000000002e-06,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.000199999999999999,3.90000000000011e-05,0.000185,9.20000000000004e-05,3.79999999999995e-05,4.99999999999987e-06,5.30000000000023e-07,0.0164000000000001,1.99999999999995e-07,2.06115362243856e-09,4.99999999999987e-06,2.06115362243856e-09,2.06115362243856e-09,0.00800000000000001,1.257,0.0770000000000002,0.04,0.0199999999999999,0.049,0.0549999999999998,0.175000000000001,0.558,0.243,0.508,0.0619999999999997,0.00800000000000001,2.06115362243856e-09,2.06115362243856e-09,0.0269999999999999,2.06115362243856e-09,0.002,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.56,0.0729999999999997,0,"p1",0,11114330
"22",3.15000000051174,3.25000000000001,4.80000000000002,2.06115362243856e-09,88.1300000000001,2.06115362243856e-09,2.06115362243856e-09,5.05000000000001,2.06115362243856e-09,0.113,3.00000000000006e-05,0.01,0.0840000000000003,0.132,0.0430000000000002,0.000370000000000001,2.49999999999994e-05,3.69999999999998e-06,4.49999999187279e-05,6.99999999999973e-06,2.06115362243856e-09,6.9999999994044e-05,1.29999999999998e-06,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,4.59999999999999e-05,0.000169,8.900000002066e-05,3.59999999999987e-05,4.99999999999987e-06,4.50000000000021e-07,0.0142999999999999,3.00000000000003e-07,2.06115362243856e-09,4.99999999999987e-06,2.06115362243856e-09,2.06115362243856e-09,0.01,1.865,0.0749999999999998,0.0749999999999998,0.0749999999999998,0.0749999999999998,0.0770000000000002,0.296999999999999,0.829,0.364999999999998,0.812,0.12,0.0749999999999998,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.812,0.195,0.00277777777777777,"p1",0,11114350
"23",3.30999999999999,0.88,4.78999999999998,2.06115362243856e-09,90.1300000000002,2.06115362243856e-09,2.06115362243856e-09,4.78999999999998,2.06115362243856e-09,0.116,4.99999999999999e-05,0.011,0.0889999999999998,0.151,0.148,0.00042,1.1e-05,2.00000000000006e-06,1.30000000000005e-05,9.99999999999974e-07,2.06115362243856e-09,4.99999999999999e-05,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.000999999999999997,3.40000000000004e-05,0.000154000000000001,5.79999999999997e-05,3.40000000000004e-05,4.99999999999987e-06,2.20000000000011e-07,0.0177000000000001,1.00000000000002e-07,2.06115362243856e-09,4.99999999999987e-06,2.06115362243856e-09,2.06115362243856e-09,0.00399999999999999,0.548,0.0290000000000001,0.017,0.01,0.022,0.0249999999999999,0.0889999999999998,0.231000000000001,0.107,0.221000000000001,0.0199999999999999,0.013,2.06115362243856e-09,2.06115362243856e-09,0.0199999999999999,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.254,0.0329999999999999,0.185833333333333,"p1",0,11115000
"26",3.56,4.13999999999999,4.45,2.06115362243856e-09,87.0299999999998,2.06115362243856e-09,2.06115362243856e-09,4.45,2.06115362243856e-09,0.133999999999999,4.99999999999999e-05,0.014,0.111,0.204,0.0500000000000001,0.000300000000000001,4.59999999999999e-05,1.39999999999994e-06,5.59999999999997e-05,6.99999999999973e-06,2.06115362243856e-09,6.99999999999996e-05,1.29999999999998e-06,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.00129999999999999,4.80000000000002e-05,0.000138,0.000276999999999999,4.59999999999999e-05,9.99999999999974e-07,6.99999999999965e-08,0.0159999999999999,3.00000000000003e-07,2.06115362243856e-09,9.99999999999974e-07,2.06115362243856e-09,2.06115362243856e-09,0.011,2.667,0.128,0.0940000000000003,0.0960000000000001,0.26,0.124,0.325,0.911,0.441,0.977,0.109,0.04,2.06115362243856e-09,2.06115362243856e-09,0.0820000000000003,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,1.109,0.149,0.0458333333333333,"p1",0,11116000
"27",3.26000000000001,0.0699999999999999,4.84999999999999,2.06115362243856e-09,90.99,2.06115362243856e-09,2.06115362243856e-09,4.62000000000001,2.06115362243856e-09,0.114,3.00000000000006e-05,0.0110000000020214,0.0870000000284971,0.158,0.0520000000208369,0.000400000000000001,1.30000000000005e-05,2.4000000014649e-06,6.30000000000001e-05,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,9.99999999999974e-07,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.000500000000000001,3.70000000000018e-05,0.000154000000000001,8.29999999999996e-05,3.20000000000015e-05,3.99999999999993e-06,3.70000000000015e-07,0.015,2.06115362243856e-09,2.06115362243856e-09,4.99999999999987e-06,2.06115362243856e-09,2.06115362243856e-09,0.002,0.0430000000000002,0.002,0.000999999999999997,0.000999999999999997,0.002,0.000999999999999997,0.00700000000000003,0.0199999999999999,0.00700000000000003,0.014,0.002,0.000999999999999997,2.06115362243856e-09,2.06115362243856e-09,0.002,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.017,0.00299999999999999,0.0337962962962962,"p1",0,11120000
"28",4.0099999987229,3.47000000000001,5.85999999999999,2.06115362243856e-09,85.0399999999998,2.06115362243856e-09,2.06115362243856e-09,4.99000000000001,2.06115362243856e-09,0.12,6.9999999994044e-05,0.012,0.101,0.173,0.0500000000000001,0.000429999999999998,2.0999999999999e-05,2.09999999999999e-06,3.29999999999998e-05,6.99999999999973e-06,2.06115362243856e-09,6.99999999999996e-05,1.29999999999998e-06,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.0011,3.70000000000018e-05,0.000156,9.89999999831387e-05,4.59999999999999e-05,4.99999999999987e-06,4.19999999999999e-07,0.0146999999999999,3.00000000000003e-07,2.06115362243856e-09,5.99999999241732e-06,2.06115362243856e-09,2.06115362243856e-09,0.013,2.554,0.112,0.0370000000000001,0.041,0.0909999999999997,0.0939999999729405,0.42,0.977,0.434999999953652,0.945,0.0699999999952945,0.0259999999999999,2.06115362243856e-09,2.06115362243856e-09,0.155,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,1.029,0.086,0.257742063492064,"p1",0,11121100
