"","Survey.s.country","Survey.start.year","Survey.name","Population.Group..L2.","Exposure.hierarchy..L1.","Exposure.hierarchy..L2.","Exposure.hierarchy..L3.","Exposure.hierarchy..L4.","Exposure.hierarchy..L5.","Exposure.hierarchy..L6.","Exposure.hierarchy..L7.","Gender","Number.of.subjects","Number.of.consumers","Mean","Standard.Deviation","X5th.percentile","X10th.percentile","Median","X95th.percentile","X97.5th.percentile","X99th.percentile","Comment"
"115751","Netherlands",2006,"DNFCS-Young-Children","Toddlers","Vegetables and vegetable products","Leafy vegetables","Head brassica","Head cabbages and similar-","White cabbage","White cabbage","White cabbage","Female","157","2","0.16",1.92,0,0,"0.00","0.00","0.00","6.02","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"115752","Netherlands",2006,"DNFCS-Young-Children","Toddlers","Vegetables and vegetable products","Leafy vegetables","Head brassica","Head cabbages and similar-","White cabbage","White cabbage","White cabbage","Male","165","1","0.04",0.47,0,0,"0.00","0.00","0.00","0.00","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"115753","Netherlands",2006,"DNFCS-Young-Children","Toddlers","Vegetables and vegetable products","Leafy vegetables","Leafy brassica","Chinese cabbages and similar-","Chinese cabbages","Chinese cabbages","Chinese cabbages","Female","157","2","0.07",0.78,0,0,"0.00","0.00","0.00","2.95","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"115754","Netherlands",2006,"DNFCS-Young-Children","Toddlers","Vegetables and vegetable products","Leafy vegetables","Leafy brassica","Chinese cabbages and similar-","Chinese cabbages","Chinese cabbages","Chinese cabbages","Male","165","1","0.15",1.87,0,0,"0.00","0.00","0.00","0.00","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"115755","Netherlands",2006,"DNFCS-Young-Children","Toddlers","Vegetables and vegetable products","Leafy vegetables","Leafy brassica","Kales and similar-","Curly kales","Curly kales","Curly kales","Female","157","7","0.61",3.07,0,0,"0.00","0.00","12.73","13.89","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"115756","Netherlands",2006,"DNFCS-Young-Children","Toddlers","Vegetables and vegetable products","Leafy vegetables","Leafy brassica","Kales and similar-","Curly kales","Curly kales","Curly kales","Male","165","10","1.35",6.16,0,0,"0.00","10.08","25.92","35.01","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"115757","Netherlands",2006,"DNFCS-Young-Children","Toddlers","Vegetables and vegetable products","Leafy vegetables","Leafy brassica","Kales and similar-","Kales and similar-","Kales and similar-","Kales and similar-","Male","165","1","0.22",2.8,0,0,"0.00","0.00","0.00","0.00","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"115758","Netherlands",2006,"DNFCS-Young-Children","Toddlers","Vegetables and vegetable products","Leafy vegetables","Lettuces and salad plants","Escaroles and similar-","Escaroles","Escaroles","Escaroles","Female","157","7","0.78",4.3,0,0,"0.00","0.00","16.11","22.24","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"115759","Netherlands",2006,"DNFCS-Young-Children","Toddlers","Vegetables and vegetable products","Leafy vegetables","Lettuces and salad plants","Escaroles and similar-","Escaroles","Escaroles","Escaroles","Male","165","9","1.50",7.17,0,0,"0.00","8.87","27.63","37.39","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"115760","Netherlands",2006,"DNFCS-Young-Children","Toddlers","Vegetables and vegetable products","Leafy vegetables","Lettuces and salad plants","Lamb's lettuces and similar-","Italian corn salads","Italian corn salads","Italian corn salads","Male","165","1","0.08",1.09,0,0,"0.00","0.00","0.00","0.00","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"115761","Netherlands",2006,"DNFCS-Young-Children","Toddlers","Vegetables and vegetable products","Leafy vegetables","Lettuces and salad plants","Lettuces and similar-","Crisp lettuces","Crisp lettuces","Crisp lettuces","Female","157","5","0.67",3.83,0,0,"0.00","0.00","15.00","22.50","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"115762","Netherlands",2006,"DNFCS-Young-Children","Toddlers","Vegetables and vegetable products","Leafy vegetables","Lettuces and salad plants","Lettuces and similar-","Crisp lettuces","Crisp lettuces","Crisp lettuces","Male","165","3","0.17",1.78,0,0,"0.00","0.00","0.00","3.63","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"115763","Netherlands",2006,"DNFCS-Young-Children","Toddlers","Vegetables and vegetable products","Leafy vegetables","Lettuces and salad plants","Lettuces and similar-","Lettuces (generic)","Lettuces (generic)","Lettuces (generic)","Female","157","4","0.24",1.92,0,0,"0.00","0.00","1.16","11.91","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"115764","Netherlands",2006,"DNFCS-Young-Children","Toddlers","Vegetables and vegetable products","Leafy vegetables","Lettuces and salad plants","Lettuces and similar-","Lettuces (generic)","Lettuces (generic)","Lettuces (generic)","Male","165","3","0.13",1.22,0,0,"0.00","0.00","0.00","6.31","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"115765","Netherlands",2006,"DNFCS-Young-Children","Toddlers","Vegetables and vegetable products","Leafy vegetables","Spinach-type leaves","Spinaches and similar-","Spinaches","Spinaches","Spinaches","Female","157","19","2.54",8.38,0,0,"0.00","24.00","29.18","40.18","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"115766","Netherlands",2006,"DNFCS-Young-Children","Toddlers","Vegetables and vegetable products","Leafy vegetables","Spinach-type leaves","Spinaches and similar-","Spinaches","Spinaches","Spinaches","Male","165","13","2.03",10.11,0,0,"0.00","19.58","24.00","30.19","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"115767","Netherlands",2006,"DNFCS-Young-Children","Toddlers","Vegetables and vegetable products","Legumes with pod","Beans (with pods) and similar-","Beans (with pods) and similar-","Beans (with pods) and similar-","Beans (with pods) and similar-","Beans (with pods) and similar-","Female","157","1","0.31",3.83,0,0,"0.00","0.00","0.00","0.00","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"115768","Netherlands",2006,"DNFCS-Young-Children","Toddlers","Vegetables and vegetable products","Legumes with pod","Beans (with pods) and similar-","Slicing bean (young pods)","French beans (with pods)","French beans (with pods)","French beans (with pods)","Female","157","1","0.19",2.39,0,0,"0.00","0.00","0.00","0.00","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"115769","Netherlands",2006,"DNFCS-Young-Children","Toddlers","Vegetables and vegetable products","Legumes with pod","Beans (with pods) and similar-","Slicing bean (young pods)","French beans (with pods)","French beans (with pods)","French beans (with pods)","Male","165","2","0.15",1.32,0,0,"0.00","0.00","0.00","12.00","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
