Food class level 1,Food (FoodEx2 description),Finland,France,Germany,Italy,Netherlands,Sweden,United Kingdom
"Additives,flavours, baking and processing aids","Artificial sweeteners (e.g., aspartam, saccharine)",,0,0,0,0,0,0
"Additives,flavours, baking and processing aids",Aspartame,0,0,0,0,0,0,0
"Additives,flavours, baking and processing aids",Baking yeast,2,4,2.31,1.65,1.7,1.65,4
"Additives,flavours, baking and processing aids",Cyclamate,0,0,0,0,0,0,0
"Additives,flavours, baking and processing aids",Flavour enhancer,0,0,0,0,0,0,0
"Additives,flavours, baking and processing aids",Modified starch,0.008,0.008,0.008,0.008,0.008,0.008,0.008
"Additives,flavours, baking and processing aids",Preparations for gelling home-made food,0,0,0,0,0,0,0
"Additives,flavours, baking and processing aids",Preparations for pickling vegetables,0,0,0,0,0,0,0
"Additives,flavours, baking and processing aids",Preparations for raising and flavouring home-made bakery,,0.001,0.001,0.001,0.001,,0.001
"Additives,flavours, baking and processing aids",Saccharine,0,0,0,0,0,0,0
"Additives,flavours, baking and processing aids",Vanilla essence,,,,0.1,,,
"Additives,flavours, baking and processing aids",Vanilla pods extract,0.14,0.14,0.14,0.14,0.14,0.14,0.14
Alcoholic beverages,Alcopop and flavoured wine,,0,0,0,0,,0
Alcoholic beverages,Ale beer,0.05,0.05,0.05,0.04,0.02,0.05,0.02
Alcoholic beverages,"Beer, alcohol-free",,0.012,0.017,0.02,0.01,,0.02
Alcoholic beverages,"Beer, light",0.03,0.022,0.03,0.03,0.01,0.02,0.03
Alcoholic beverages,"Beer, regular",0.02,0.024,0.033,0.03,0.03,0.02,0.04
Alcoholic beverages,"Beer, strong",0.03,0.03,0.04,0.03,0.03,0.02,0.06
Alcoholic beverages,Brandy,,,0.001,,,,
Alcoholic beverages,Champagne-like wine,,0.01,0.01,,0.01,,0.01
Alcoholic beverages,Chocolate liqueur,0.012,0.012,0.012,0.012,,0.012,
Alcoholic beverages,Cider,,,0.001,,0.01,,0.01
Alcoholic beverages,Cocktail drink,0.01,0.029,0.008,0.029,0.029,,0.008
Alcoholic beverages,Coffee liqueur,0.012,0.012,0.012,0.012,,0.012,
Alcoholic beverages,Cream liqueur,0.057,0.012,0.012,0.06,0.04,0.057,0.04
Alcoholic beverages,Egg liqueur,0.17,0.17,0.17,0.17,0.13,0.17,0.13
