Food class level 1,Food (FoodEx2 description),Finland,France,Germany,Italy,Netherlands,Sweden,United Kingdom
"Additives,flavours, baking and processing aids","Artificial sweeteners (e.g., aspartam, saccharine)",,,0,,,0,0
"Additives,flavours, baking and processing aids",Aspartame,0,0,0,,0,0,0
"Additives,flavours, baking and processing aids",Baking yeast,12,140,23,13,25,13,80
"Additives,flavours, baking and processing aids",Cyclamate,0,0,0,0,0,0,0
"Additives,flavours, baking and processing aids",Flavour enhancer,0,0,0,0,0,0,0
"Additives,flavours, baking and processing aids",Modified starch,10,10,10,10,10,10,10
"Additives,flavours, baking and processing aids",Preparations for gelling home-made food,600,600,600,600,600,600,600
"Additives,flavours, baking and processing aids",Preparations for pickling vegetables,0,0,0,0,0,0,0
"Additives,flavours, baking and processing aids",Preparations for raising and flavouring home-made bakery,,1130,1130,1130,1130,,1130
"Additives,flavours, baking and processing aids",Saccharine,0,0,0,,0,0,0
"Additives,flavours, baking and processing aids",Vanilla essence,,,,11,,,
"Additives,flavours, baking and processing aids",Vanilla pods extract,1228,1228,1228,1228,1228,1228,1228
Alcoholic beverages,Alcopop and flavoured wine,,3,3,3,6,,6
Alcoholic beverages,Ale beer,4,4,4,5,7,4,7
Alcoholic beverages,"Beer, alcohol-free",5.5,4.6,5,8,5,,3
Alcoholic beverages,"Beer, light",6,6,4,10,5,6,10
Alcoholic beverages,"Beer, regular",4,4.5,4,1,3,4,5
Alcoholic beverages,"Beer, strong",4,4,4,4,3,4,14
Alcoholic beverages,Brandy,,,2,1,,,
Alcoholic beverages,Champagne-like wine,,5.1,6,9,3,,3
Alcoholic beverages,Chocolate liqueur,1,1,1,1,,1,
Alcoholic beverages,Cider,1.6,7.3,5,8,10,9,8
Alcoholic beverages,Cocktail drink,9.6,7.12,3,7.12,7.12,,3
Alcoholic beverages,Coffee liqueur,1,1,1,1,,1,
Alcoholic beverages,Cream liqueur,16.5,17,17,18,28,16.5,18
Alcoholic beverages,Egg liqueur,14,14,14,14,20,14,20
Alcoholic beverages,Fruit liqueur,,2,2,2,,,
Alcoholic beverages,Gin,0,0,0,0,0,0,
Alcoholic beverages,Herb liqueur,,2,,2,,,
Alcoholic beverages,Ice wine,14,14,14,14,14,14,14
Alcoholic beverages,Lager beer,6.5,4.5,4,4.5,6.5,6.5,5
Alcoholic beverages,Low-malt beers,3,3,3,3,3,3,3
Alcoholic beverages,Madeira,8.8,3,3,3,,8.8,
Alcoholic beverages,Mixed beer drinks,12,12,12,12,12,12,12
Alcoholic beverages,Noble rot wine,14,14,14,14,14,14,14
Alcoholic beverages,Port,8.8,8.4,7,4,4,8.8,4
Alcoholic beverages,Raisin wine,8.8,8.8,8.8,8.8,8.8,8.8,8.8
Alcoholic beverages,Red or rosÇ sparkling wine,12,12,12,12,12,12,12
Alcoholic beverages,Rum,,,,,,,27
Alcoholic beverages,Shandy,12,2.75,12,2.75,2,12,8
Alcoholic beverages,Sherry,8.8,8.4,7,8,8,8,8
Alcoholic beverages,Spirits made from stone fruits,2,2,2,5,2,2,2
Alcoholic beverages,Stout beer,8,8,8,4,4,8,4
Alcoholic beverages,Tequila and similar spirits,2,,2,,,2,2
Alcoholic beverages,Vermouth,8.8,8.8,7,8.8,6,8.8,7
Alcoholic beverages,Vodka and vodka-like spirits,,0.13,,,,,27
Alcoholic beverages,Wheat beer,1,1,1,1,1,1,1
Alcoholic beverages,Whisky,,0.73,2,,2,,
Alcoholic beverages,"Wine, red",7.8,6.36,9,6.36,8,7,7
Alcoholic beverages,"Wine, rosÇ",,10,12,12,12,,12
Alcoholic beverages,"Wine, white",9,5.64,10,9,12,44,12
Animal and vegetable fats and oils,Beef tallow (including processed suet),0,0,0,0,0,0,0
Animal and vegetable fats and oils,Blended fat and oils,24,39,39,39,15,24,15
Animal and vegetable fats and oils,"Blended fat and oils, QUAL Half fat or medium fat",19.6,114,114,114,114,19.6,114
Animal and vegetable fats and oils,"Blended fat and oils, QUAL Low fat (naturally or reduced)",108.1,200,200,200,200,108.1,200
Animal and vegetable fats and oils,"Blended fat and oils, QUAL Low sodium / reduced salt",39,39,39,39,39,39,39
Animal and vegetable fats and oils,Blended frying oil/fats,16.5,0.9,,,,16.5,
Animal and vegetable fats and oils,Blended margarine,18,11.1,35,4,12,18,14
Animal and vegetable fats and oils,"Blended margarine, QUAL Half fat or medium fat",30,12,47,12,47,30,47
Animal and vegetable fats and oils,"Blended margarine, QUAL Low fat (naturally or reduced)",47,35,47,35,35,47,47
Animal and vegetable fats and oils,"Blended margarine, QUAL Low sodium / reduced salt",8,8,8,8,8,8,8
Animal and vegetable fats and oils,Butter,24,14.5,13,25,17,18,18
Animal and vegetable fats and oils,Butter and margarine/oil blends,,15,15,15,15,,15
Animal and vegetable fats and oils,"Butter and margarine/oil blends, QUAL Half fat or medium fat",11,11,11,11,11,11,11
Animal and vegetable fats and oils,"Butter and margarine/oil blends, QUAL Low fat (naturally or reduced)",11,11,11,11,11,11,11
Animal and vegetable fats and oils,Butter oil,18,6,6,6,18,18,18
Animal and vegetable fats and oils,"Butter, QUAL Half fat or medium fat",,,115,,11,,11
Animal and vegetable fats and oils,"Butter, QUAL Low fat (naturally or reduced)",60,23,115,23,11,115,11
Animal and vegetable fats and oils,Cocoa butter,0,0,0,0,0,0,0
