Food class level 1,Food (FoodEx2 description),Finland,France,Germany,Italy,Netherlands,Sweden,United Kingdom
"Additives,flavours, baking and processing aids","Artificial sweeteners (e.g., aspartam, saccharine)",,,0,,,0,0
"Additives,flavours, baking and processing aids",Aspartame,0,0,0,,0,0,0
"Additives,flavours, baking and processing aids",Baking yeast,2.1,13,3.5,4.9,5,4.9,20
"Additives,flavours, baking and processing aids",Cyclamate,0,0,0,0,0,0,0
"Additives,flavours, baking and processing aids",Flavour enhancer,0,0,0,0,0,0,0
"Additives,flavours, baking and processing aids",Modified starch,0.28,0.28,0.28,0.28,0.28,0.28,0.28
"Additives,flavours, baking and processing aids",Preparations for gelling home-made food,0.8,0.8,0.8,0.8,0.8,0.8,0.8
"Additives,flavours, baking and processing aids",Preparations for pickling vegetables,0,0,0,0,0,0,0
"Additives,flavours, baking and processing aids",Preparations for raising and flavouring home-made bakery,,0.001,0.001,0.001,0.001,,0.001
"Additives,flavours, baking and processing aids",Saccharine,0.04,,,,0.04,0.04,
"Additives,flavours, baking and processing aids",Vanilla essence,,,,0.1,,,
"Additives,flavours, baking and processing aids",Vanilla pods extract,38.1,38.1,38.1,38.1,38.1,38.1,38.1
Alcoholic beverages,Alcopop and flavoured wine,,0.031,0.031,0.031,,,
Alcoholic beverages,Ale beer,0.001,0.001,0.001,,,0.001,
Alcoholic beverages,"Beer, alcohol-free",0.1,0.02,0.015,,,,
Alcoholic beverages,"Beer, light",0.1,0.03,0.001,,,,
Alcoholic beverages,"Beer, regular",0.1,0.03,0.012,,,,
Alcoholic beverages,"Beer, strong",0.1,0.02,0.001,0.2,,0.1,
Alcoholic beverages,Brandy,0,0,0,,0,0,0
Alcoholic beverages,Champagne-like wine,,0.5,0.518,0.3,0.5,,0.5
Alcoholic beverages,Chocolate liqueur,0.06,0.06,0.06,0.06,,0.06,
Alcoholic beverages,Cider,0.1,0.8,0.31,0.5,0.3,0.2,0.5
Alcoholic beverages,Cocktail drink,0.3,0.64,0.12,0.64,0.64,,0.12
Alcoholic beverages,Coffee liqueur,0.1,0.06,0.06,0.06,,0.1,
Alcoholic beverages,Cream liqueur,0.1,0.1,0.1,0.1,,0.1,0.1
Alcoholic beverages,Egg liqueur,0.7,0.7,0.7,,0.8,0.7,0.8
Alcoholic beverages,Fruit liqueur,0,0,0,0,0,0,0
Alcoholic beverages,Gin,,0.03,,,,,
Alcoholic beverages,Herb liqueur,0.1,,,,,0.1,
Alcoholic beverages,Ice wine,0.58,0.58,0.58,0.58,0.58,0.58,0.58
Alcoholic beverages,Lager beer,0.03,0.03,0.012,0.03,0.03,0.03,0.012
Alcoholic beverages,Low-malt beers,0.015,0.015,0.015,0.015,0.015,0.015,0.015
Alcoholic beverages,Madeira,0.7,0.3,0.3,0.3,0.4,0.7,0.4
Alcoholic beverages,Mixed beer drinks,0.227,0.227,0.227,0.227,0.227,0.227,0.227
Alcoholic beverages,Noble rot wine,0.58,0.58,0.58,0.58,0.58,0.58,0.58
Alcoholic beverages,Port,0.7,0.6,0.39,0.4,0.4,0.7,0.4
Alcoholic beverages,Raisin wine,0.7,0.7,0.7,0.7,0.7,0.7,0.7
Alcoholic beverages,Red or rosé sparkling wine,0.926,0.926,0.926,0.926,0.926,0.926,0.926
Alcoholic beverages,Rum,,0.12,0.12,0.1,,,0.4
Alcoholic beverages,Shandy,0.227,0.015,0.227,0.015,,0.227,
Alcoholic beverages,Sherry,0.7,0.6,0.39,0.4,0.5,2.4,0.4
Alcoholic beverages,Spirits made from stone fruits,,,,0.1,,,
Alcoholic beverages,Stout beer,0.05,0.05,0.05,0.2,0.2,0.05,0.2
Alcoholic beverages,Tequila and similar spirits,0,0,0,0,0,0,0
Alcoholic beverages,Vermouth,0.7,0.6,0.34,,0.4,0.7,0.3
Alcoholic beverages,Vodka and vodka-like spirits,,0.04,0.01,0.01,,,0.4
Alcoholic beverages,Wheat beer,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Alcoholic beverages,Whisky,,0.05,0.03,,,,
Alcoholic beverages,"Wine, red",0.8,0.9,0.85,1,0.6,1.1,0.9
Alcoholic beverages,"Wine, rosé",,0.66,0.926,1,1,,1
Alcoholic beverages,"Wine, white",0.3,0.64,0.6,1,0.6,0.6,0.8
Animal and vegetable fats and oils,Beef tallow (including processed suet),,0.32,0.32,0.3,,,
Animal and vegetable fats and oils,Blended fat and oils,0.2,0.011,0.011,0.011,0.2,0.2,0.2
Animal and vegetable fats and oils,"Blended fat and oils, QUAL Half fat or medium fat",0.2,0.54,0.54,0.54,0.54,0.2,0.54
Animal and vegetable fats and oils,"Blended fat and oils, QUAL Low fat (naturally or reduced)",0.23,0.26,0.26,0.26,0.26,0.23,0.26
Animal and vegetable fats and oils,"Blended fat and oils, QUAL Low sodium / reduced salt",0.011,0.011,0.011,0.011,0.011,0.011,0.011
Animal and vegetable fats and oils,Blended frying oil/fats,0.2,0.2,0.01,,0.01,0.2,0.01
Animal and vegetable fats and oils,Blended margarine,0.2,,0.051,0.3,0.032,0.2,0.051
Animal and vegetable fats and oils,"Blended margarine, QUAL Half fat or medium fat",0.23,0.03,0.081,0.03,0.081,0.23,0.081
Animal and vegetable fats and oils,"Blended margarine, QUAL Low fat (naturally or reduced)",0.081,0.03,0.081,0.03,0.03,0.081,0.081
