Food class level 1,Food (FoodEx2 description),Finland,France,Germany,Italy,Netherlands,Sweden,United Kingdom
"Additives,flavours, baking and processing aids","Artificial sweeteners (e.g., aspartam, saccharine)",,,0,,,0,0
"Additives,flavours, baking and processing aids",Aspartame,0,0,0,,0,0,0
"Additives,flavours, baking and processing aids",Baking yeast,640,2000,640,610,610,610,2000
"Additives,flavours, baking and processing aids",Cyclamate,0,0,0,0,0,0,0
"Additives,flavours, baking and processing aids",Flavour enhancer,0,0,0,0,0,0,0
"Additives,flavours, baking and processing aids",Modified starch,5,5,5,5,5,5,5
"Additives,flavours, baking and processing aids",Preparations for gelling home-made food,320,320,320,320,320,320,320
"Additives,flavours, baking and processing aids",Preparations for pickling vegetables,0,0,0,0,0,0,0
"Additives,flavours, baking and processing aids",Preparations for raising and flavouring home-made bakery,49,49,49,49,49,49,49
"Additives,flavours, baking and processing aids",Saccharine,4,,,,4,4,
"Additives,flavours, baking and processing aids",Vanilla essence,,,,148,,,
"Additives,flavours, baking and processing aids",Vanilla pods extract,500,500,500,500,500,500,500
Alcoholic beverages,Alcopop and flavoured wine,,1,1,1,5,,5
Alcoholic beverages,Ale beer,49,49,49,39,33,49,33
Alcoholic beverages,"Beer, alcohol-free",33,24,40,56,28,,44
Alcoholic beverages,"Beer, light",30,21.5,48,33,28,23,33
Alcoholic beverages,"Beer, regular",40,37.5,55,35,54,26,39
Alcoholic beverages,"Beer, strong",50,64,40,48,53,36,110
Alcoholic beverages,Brandy,,1.9,2,,,,
Alcoholic beverages,Champagne-like wine,,57,70,56,57,,57
Alcoholic beverages,Chocolate liqueur,30,30,30,30,,30,
Alcoholic beverages,Cider,72,118,97,72,93,17,72
Alcoholic beverages,Cocktail drink,155.1,85.4,51,85.4,85.4,,51
Alcoholic beverages,Coffee liqueur,30,30,30,30,,30,
Alcoholic beverages,Cream liqueur,17.4,17,17,19,33,17.4,19
Alcoholic beverages,Egg liqueur,14,14,14,,52,14,52
Alcoholic beverages,Fruit liqueur,,2,2,2,,,
Alcoholic beverages,Gin,,,,2,,,
Alcoholic beverages,Herb liqueur,,4,,4,,,
Alcoholic beverages,Ice wine,110,110,110,110,110,110,110
Alcoholic beverages,Lager beer,30,37.5,55,37.5,30,30,39
Alcoholic beverages,Low-malt beers,50,50,50,50,50,50,50
Alcoholic beverages,Madeira,93,90,90,90,100,93,100
Alcoholic beverages,Mixed beer drinks,19,19,19,19,19,19,19
Alcoholic beverages,Noble rot wine,110,110,110,110,110,110,110
Alcoholic beverages,Port,93,89.5,75,97,97,93,97
Alcoholic beverages,Raisin wine,93,93,93,93,93,93,93
Alcoholic beverages,Red or rosé sparkling wine,73,73,73,73,73,73,73
Alcoholic beverages,Rum,,2,2,2,,,41
Alcoholic beverages,Shandy,19,18.8,19,18.8,6,19,6
Alcoholic beverages,Sherry,93,89.5,57,55,64,115,55
Alcoholic beverages,Spirits made from stone fruits,2,2,2,34,2,2,2
Alcoholic beverages,Stout beer,45,45,45,48,48,45,48
Alcoholic beverages,Tequila and similar spirits,2,2,2,2,2,2,2
Alcoholic beverages,Vermouth,93,50,40,30,18,93,34
Alcoholic beverages,Vodka and vodka-like spirits,,1,1,1,1,,41
Alcoholic beverages,Wheat beer,21,21,21,21,21,21,21
Alcoholic beverages,Whisky,,2.3,3,,3,,
Alcoholic beverages,"Wine, red",100,110,89,61,70,110,110
Alcoholic beverages,"Wine, rosé",,87,73,75,75,,75
Alcoholic beverages,"Wine, white",61,76,95,61,86,70,81
Animal and vegetable fats and oils,Beef tallow (including processed suet),,6,6,6,,,
Animal and vegetable fats and oils,Blended fat and oils,18,50,50,50,15,18,15
Animal and vegetable fats and oils,"Blended fat and oils, QUAL Half fat or medium fat",40,208,208,208,208,40,208
Animal and vegetable fats and oils,"Blended fat and oils, QUAL Low fat (naturally or reduced)",145,260,260,260,260,145,260
Animal and vegetable fats and oils,"Blended fat and oils, QUAL Low sodium / reduced salt",50,50,50,50,50,50,50
Animal and vegetable fats and oils,Blended frying oil/fats,19.5,,,,,19.5,
Animal and vegetable fats and oils,Blended margarine,20,5,42,5,38,20,43
Animal and vegetable fats and oils,"Blended margarine, QUAL Half fat or medium fat",27,7,49,7,49,27,49
Animal and vegetable fats and oils,"Blended margarine, QUAL Low fat (naturally or reduced)",49,87,49,87,87,49,49
Animal and vegetable fats and oils,"Blended margarine, QUAL Low sodium / reduced salt",6,6,6,6,6,6,6
Animal and vegetable fats and oils,Butter,18,13,16,15,27,15,27
Animal and vegetable fats and oils,Butter and margarine/oil blends,,15,15,15,15,,15
Animal and vegetable fats and oils,"Butter and margarine/oil blends, QUAL Half fat or medium fat",32,32,32,32,32,32,32
Animal and vegetable fats and oils,"Butter and margarine/oil blends, QUAL Low fat (naturally or reduced)",32,32,32,32,32,32,32
Animal and vegetable fats and oils,Butter oil,18,3,3,3,18,18,18
Animal and vegetable fats and oils,"Butter, QUAL Half fat or medium fat",,,160,,32,,32
Animal and vegetable fats and oils,"Butter, QUAL Low fat (naturally or reduced)",20,80,160,80,32,160,32
Animal and vegetable fats and oils,Cocoa butter,,1,1,,,,1
Animal and vegetable fats and oils,Coconut oil/fat,0,0,0,,0,0,0
Animal and vegetable fats and oils,Cod liver oil,,,1,,,,1
Animal and vegetable fats and oils,"Cotton seed oil, edible",,1,1,1,,,1
