Food class level 1,Food (FoodEx2 description),Finland,France,Germany,Italy,Netherlands,Sweden,United Kingdom
"Additives,flavours, baking and processing aids","Artificial sweeteners (e.g., aspartam, saccharine)",,0,0,0,0,0,0
"Additives,flavours, baking and processing aids",Aspartame,0,0,0,0,0,0,0
"Additives,flavours, baking and processing aids",Baking yeast,0,0,0,0,0,0,0
"Additives,flavours, baking and processing aids",Cyclamate,0,0,0,0,0,0,0
"Additives,flavours, baking and processing aids",Flavour enhancer,0,0,0,0,0,0,0
"Additives,flavours, baking and processing aids",Preparations for gelling home-made food,0,0,0,0,0,0,0
"Additives,flavours, baking and processing aids",Preparations for pickling vegetables,0,0,0,0,0,0,0
"Additives,flavours, baking and processing aids",Preparations for raising and flavouring home-made bakery,0,0,0,0,0,0,0
"Additives,flavours, baking and processing aids",Saccharine,0,0,0,0,0,0,0
"Additives,flavours, baking and processing aids",Vanilla essence,0,0,0,0,0,0,0
"Additives,flavours, baking and processing aids",Vanilla pods extract,0,0,0,0,0,0,0
Alcoholic beverages,Alcopop and flavoured wine,,0,0,0,0,,0
Alcoholic beverages,Ale beer,0,0,0,0,0,0,0
Alcoholic beverages,"Beer, alcohol-free",0,0,0,0,0,,0
Alcoholic beverages,"Beer, light",0,0,0,0,0,0,0
Alcoholic beverages,"Beer, regular",0,0,0,0,0,0,0
Alcoholic beverages,"Beer, strong",0,0,0,0,0,0,0
Alcoholic beverages,Brandy,0,0,0,0,0,0,0
Alcoholic beverages,Champagne-like wine,,0,0,0,0,,0
Alcoholic beverages,Chocolate liqueur,0,0,0,0,0,0,0
Alcoholic beverages,Cider,0,0,0,0,0,0,0
Alcoholic beverages,Cocktail drink,0,0,0,0,0,,0
Alcoholic beverages,Coffee liqueur,0,0,0,0,0,0,0
Alcoholic beverages,Cream liqueur,0,0,0,0,0,0,0
Alcoholic beverages,Egg liqueur,4,4,4,4,4,4,4
Alcoholic beverages,Fruit liqueur,0,0,0,0,0,0,0
Alcoholic beverages,Gin,0,0,0,0,0,0,
Alcoholic beverages,Herb liqueur,0,0,0,0,0,0,0
Alcoholic beverages,Ice wine,0,0,0,0,0,0,0
Alcoholic beverages,Lager beer,0,0,0,0,0,0,0
Alcoholic beverages,Low-malt beers,0,0,0,0,0,0,0
