Food class level 1,Food (FoodEx2 description),Finland,France,Germany,Italy,Netherlands,Sweden,United Kingdom
"Additives,flavours, baking and processing aids","Artificial sweeteners (e.g., aspartam, saccharine)",,,0,,,0,0
"Additives,flavours, baking and processing aids",Aspartame,0,0,0,,0,0,0
"Additives,flavours, baking and processing aids",Baking yeast,4.5,8.3,4.275,8.3,3.2,4.5,8
"Additives,flavours, baking and processing aids",Cyclamate,0,0,0,0,0,0,0
"Additives,flavours, baking and processing aids",Flavour enhancer,0,0,0,0,0,0,0
"Additives,flavours, baking and processing aids",Preparations for gelling home-made food,0,0,0,0,0,0,0
"Additives,flavours, baking and processing aids",Preparations for pickling vegetables,0,0,0,0,0,0,0
"Additives,flavours, baking and processing aids",Preparations for raising and flavouring home-made bakery,2.8,2.8,2.8,2.8,2.8,2.8,2.8
"Additives,flavours, baking and processing aids",Saccharine,0.01,,,,0.01,0.01,
"Additives,flavours, baking and processing aids",Vanilla essence,,,,0.1,,,
"Additives,flavours, baking and processing aids",Vanilla pods extract,1.97,1.97,1.97,1.97,1.97,1.97,1.97
Alcoholic beverages,Alcopop and flavoured wine,,0.014,0.014,0.014,,,
Alcoholic beverages,Ale beer,0.02,0.02,0.02,,0.3,0.02,0.3
Alcoholic beverages,"Beer, alcohol-free",0.1,0.013,0.008,,0.01,,0.01
Alcoholic beverages,"Beer, light",0.1,0.005,0.02,,0.01,,0.01
Alcoholic beverages,"Beer, regular",0.1,0.009,0.028,0.009,0.02,,0.02
Alcoholic beverages,"Beer, strong",0.1,0.01,0.01,,0.02,,0.02
Alcoholic beverages,Brandy,,0.02,,0.02,0.2,,0.2
Alcoholic beverages,Champagne-like wine,,0.07,0.052,0.08,0.041,,0.052
Alcoholic beverages,Chocolate liqueur,0.03,0.03,0.03,0.03,,0.03,
Alcoholic beverages,Cider,0.1,0.02,0.24,,0.03,0.3,0.03
Alcoholic beverages,Cocktail drink,0.1,0.085,0.064,0.085,0.085,,0.064
Alcoholic beverages,Coffee liqueur,0.15,0.03,0.03,0.03,,0.15,
Alcoholic beverages,Cream liqueur,0.2,0.2,0.2,0.2,0.06,0.2,0.2
Alcoholic beverages,Egg liqueur,0.15,0.47,0.47,0.47,0.47,0.15,0.47
Alcoholic beverages,Fruit liqueur,,0.15,0.15,0.15,,,
Alcoholic beverages,Gin,,,0.05,,,,
Alcoholic beverages,Herb liqueur,0.15,0.03,0.035,0.03,,0.15,
Alcoholic beverages,Ice wine,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Alcoholic beverages,Lager beer,0.007,0.009,0.028,0.009,0.007,0.007,0.028
Alcoholic beverages,Low-malt beers,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Alcoholic beverages,Madeira,0.1,0.27,0.27,0.27,0.14,0.1,0.14
Alcoholic beverages,Mixed beer drinks,0.03,0.03,0.03,0.03,0.03,0.03,0.03
Alcoholic beverages,Noble rot wine,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Alcoholic beverages,Port,0.1,0.15,0.27,,0.21,0.1,0.21
Alcoholic beverages,Raisin wine,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Alcoholic beverages,Red or rosé sparkling wine,0.039,0.039,0.039,0.039,0.039,0.039,0.039
Alcoholic beverages,Rum,,0.07,0.06,0.07,0.02,,0.3
Alcoholic beverages,Shandy,0.03,0.01,0.03,0.01,,0.03,
Alcoholic beverages,Sherry,0.1,0.15,0.21,,0.04,,0.04
Alcoholic beverages,Spirits made from stone fruits,0.15,,,,0.15,0.15,
Alcoholic beverages,Stout beer,0.01,0.01,0.01,,0.01,0.01,0.01
Alcoholic beverages,Tequila and similar spirits,,0.02,,0.02,0.02,,
Alcoholic beverages,Vermouth,0.1,0.03,0.04,0.03,0.03,0.1,0.03
Alcoholic beverages,Vodka and vodka-like spirits,,,0.004,,0.004,,0.3
Alcoholic beverages,Wheat beer,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Alcoholic beverages,Whisky,,0.02,0.07,0.02,0.01,,
Alcoholic beverages,"Wine, red",0.1,0.16,0.083,0.16,0.05,0.1,0.1
Alcoholic beverages,"Wine, rosé",,0.05,0.039,,,,
Alcoholic beverages,"Wine, white",0.1,0.083,0.23,0.083,0.04,,0.04
Animal and vegetable fats and oils,Beef tallow (including processed suet),,0.08,0.08,0.08,0.76,,0.76
Animal and vegetable fats and oils,Blended fat and oils,0.1,0.274,0.274,0.274,0.1,0.1,0.1
Animal and vegetable fats and oils,"Blended fat and oils, QUAL Half fat or medium fat",0.2,0.71,0.71,0.71,0.71,0.2,0.71
Animal and vegetable fats and oils,"Blended fat and oils, QUAL Low fat (naturally or reduced)",0.48,0.76,0.76,0.76,0.76,0.48,0.76
Animal and vegetable fats and oils,"Blended fat and oils, QUAL Low sodium / reduced salt",0.274,0.274,0.274,0.274,0.274,0.274,0.274
Animal and vegetable fats and oils,Blended frying oil/fats,0.1,0.011,0.1,,0.1,0.1,0.1
Animal and vegetable fats and oils,Blended margarine,0.1,0.04,0.196,,0.112,0.1,0.196
Animal and vegetable fats and oils,"Blended margarine, QUAL Half fat or medium fat",0.147,0.047,0.243,0.047,0.243,0.147,0.243
Animal and vegetable fats and oils,"Blended margarine, QUAL Low fat (naturally or reduced)",0.243,0.047,0.243,0.047,0.047,0.243,0.243
