Food class level 1,Food (FoodEx2 description),Finland,France,Germany,Italy,Netherlands,Sweden,United Kingdom
"Additives,flavours, baking and processing aids","Artificial sweeteners (e.g., aspartam, saccharine)",,0,0,0,0,0,0
"Additives,flavours, baking and processing aids",Aspartame,0,0,0,0,0,0,0
"Additives,flavours, baking and processing aids",Baking yeast,14.13,32,19.9,19.9,12.83,13.03,19.9
"Additives,flavours, baking and processing aids",Cyclamate,0,0,0,0,0,0,0
"Additives,flavours, baking and processing aids",Flavour enhancer,0,0,0,0,0,0,0
"Additives,flavours, baking and processing aids",Preparations for gelling home-made food,3.4,3.4,3.4,3.4,3.4,3.4,3.4
"Additives,flavours, baking and processing aids",Preparations for pickling vegetables,0,0,0,0,0,0,0
"Additives,flavours, baking and processing aids",Preparations for raising and flavouring home-made bakery,1,1.001,1.001,1.001,1.001,1,1.001
"Additives,flavours, baking and processing aids",Saccharine,0,0,0,0,0,0,0
"Additives,flavours, baking and processing aids",Vanilla essence,,,,0.43,,,
"Additives,flavours, baking and processing aids",Vanilla pods extract,1.983,1.983,1.983,1.983,1.983,1.983,1.983
Alcoholic beverages,Alcopop and flavoured wine,,0,0,0,0,,0
Alcoholic beverages,Ale beer,0.943,0.943,0.943,0.943,0.943,0.943,0.943
Alcoholic beverages,"Beer, alcohol-free",0.743,0.93,1.01,0.9,0.743,,1
Alcoholic beverages,"Beer, light",0.783,0.913,0.913,0.913,0.683,0.683,0.913
Alcoholic beverages,"Beer, regular",0.749,0.953,0.953,1.2,1.1,0.749,1
Alcoholic beverages,"Beer, strong",0.7,1.52,1.52,1.52,0.57,0.57,1.52
Alcoholic beverages,Brandy,,0.001,0.001,0.001,,,0.001
Alcoholic beverages,Champagne-like wine,,0.1,0.07,0.07,0.07,,0.1
Alcoholic beverages,Chocolate liqueur,0.144,0.144,0.144,0.144,0.144,0.144,0.144
Alcoholic beverages,Cider,0.01,0.01,0.01,0.01,0.1,0.01,0.01
Alcoholic beverages,Cocktail drink,0.3,0.12,0.12,0.12,0.12,,0.12
Alcoholic beverages,Coffee liqueur,0.1,0.144,0.144,0.144,0.1,0.1,0.1
Alcoholic beverages,Cream liqueur,0.745,0.811,0.811,0.747,0.867,0.745,0.867
Alcoholic beverages,Egg liqueur,1.455,1.455,1.455,1.455,1.4,1.455,1.4
