Food class level 1,Food (FoodEx2 description),Finland,France,Germany,Italy,Netherlands,Sweden,United Kingdom
"Additives,flavours, baking and processing aids","Artificial sweeteners (e.g., aspartam, saccharine)",,,0,,,0,0
"Additives,flavours, baking and processing aids",Aspartame,0,0,0,,0,0,0
"Additives,flavours, baking and processing aids",Baking yeast,0.16,0.16,0.15,0.16,1.6,0.16,0.16
"Additives,flavours, baking and processing aids",Cyclamate,0,0,0,0,0,0,0
"Additives,flavours, baking and processing aids",Flavour enhancer,0,0,0,0,0,0,0
"Additives,flavours, baking and processing aids",Preparations for gelling home-made food,0,0,0,0,0,0,0
"Additives,flavours, baking and processing aids",Preparations for pickling vegetables,0,0,0,0,0,0,0
"Additives,flavours, baking and processing aids",Preparations for raising and flavouring home-made bakery,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"Additives,flavours, baking and processing aids",Saccharine,0,0,0,,0,0,0
"Additives,flavours, baking and processing aids",Vanilla essence,,,,0.07,,,
"Additives,flavours, baking and processing aids",Vanilla pods extract,0.46,0.46,0.46,0.46,0.46,0.46,0.46
Alcoholic beverages,Alcopop and flavoured wine,,0.031,0.031,0.031,,,
Alcoholic beverages,Ale beer,0.04,0.04,0.04,,0.07,0.04,0.07
Alcoholic beverages,"Beer, alcohol-free",0.008,0.006,0.005,,0.01,,0.01
Alcoholic beverages,"Beer, light",0.008,0.003,0.04,0.05,0.01,0.008,0.05
Alcoholic beverages,"Beer, regular",0.005,0.037,0.01,0.037,,0.005,
Alcoholic beverages,"Beer, strong",0.02,0.01,0.009,,,0.02,0.08
Alcoholic beverages,Brandy,,0.07,0.035,0.07,0.16,,0.16
Alcoholic beverages,Champagne-like wine,,0.002,0.05,0.01,0.009,,0.01
Alcoholic beverages,Chocolate liqueur,0.04,0.04,0.04,0.04,0.02,0.04,0.02
Alcoholic beverages,Cider,0.0007,0.003,0.02,0.04,0.01,0.0007,0.04
Alcoholic beverages,Cocktail drink,0.0142,0.01,0.042,0.01,0.01,,0.042
Alcoholic beverages,Coffee liqueur,0.019,0.04,0.04,0.04,0.02,0.019,0.02
Alcoholic beverages,Cream liqueur,,0.04,0.04,,0.01,,0.01
Alcoholic beverages,Egg liqueur,0.019,0.03,0.03,0.03,0.09,0.019,0.09
Alcoholic beverages,Fruit liqueur,,0.019,0.019,0.019,0.02,,0.02
Alcoholic beverages,Gin,,0.004,0.004,0.02,,,
Alcoholic beverages,Herb liqueur,0.019,,0.022,,0.02,0.019,0.02
Alcoholic beverages,Ice wine,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Alcoholic beverages,Lager beer,0.005,0.037,0.01,0.037,0.005,0.005,0.01
Alcoholic beverages,Low-malt beers,0.04,0.04,0.04,0.04,0.04,0.04,0.04
Alcoholic beverages,Madeira,0.004,0.1,0.1,0.1,0.13,0.004,0.13
Alcoholic beverages,Mixed beer drinks,0.028,0.028,0.028,0.028,0.028,0.028,0.028
Alcoholic beverages,Noble rot wine,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Alcoholic beverages,Port,0.004,0.89,0.25,0.1,0.1,0.004,0.1
Alcoholic beverages,Raisin wine,0.004,0.004,0.004,0.004,0.004,0.004,0.004
Alcoholic beverages,Red or rosé sparkling wine,0.019,0.019,0.019,0.019,0.019,0.019,0.019
Alcoholic beverages,Rum,,0.05,0.068,0.05,0.07,,0.02
Alcoholic beverages,Shandy,0.028,0.02,0.028,0.02,,0.028,
Alcoholic beverages,Sherry,0.004,0.33,0.03,0.04,0.02,0.004,0.04
Alcoholic beverages,Spirits made from stone fruits,0.019,0.035,0.035,0.02,0.019,0.019,0.035
Alcoholic beverages,Stout beer,0.08,0.08,0.08,,0.08,0.08,0.08
Alcoholic beverages,Tequila and similar spirits,0.035,,0.035,,,0.035,0.035
Alcoholic beverages,Vermouth,0.004,0.16,0.06,0.16,0.01,0.004,0.03
Alcoholic beverages,Vodka and vodka-like spirits,,0.05,0.01,0.01,0.001,,0.02
Alcoholic beverages,Wheat beer,0.04,0.04,0.04,0.04,0.04,0.04,0.04
Alcoholic beverages,Whisky,,0.045,0.02,0.045,0.02,,
Alcoholic beverages,"Wine, red",0.01,0.01,0.08,0.01,0.02,0.01,0.06
Alcoholic beverages,"Wine, rosé",,0.036,0.019,0.02,0.02,,0.02
Alcoholic beverages,"Wine, white",0.021,0.008,0.07,0.008,0.01,0.021,0.01
Animal and vegetable fats and oils,Beef tallow (including processed suet),,0.08,0.08,0.08,0.08,,0.08
Animal and vegetable fats and oils,Blended fat and oils,0.011,0.002,0.002,0.002,0.03,0.011,0.03
Animal and vegetable fats and oils,"Blended fat and oils, QUAL Half fat or medium fat",0.0104,0.05,0.05,0.05,0.05,0.0104,0.05
Animal and vegetable fats and oils,"Blended fat and oils, QUAL Low fat (naturally or reduced)",0.0259,0.044,0.044,0.044,0.044,0.0259,0.044
Animal and vegetable fats and oils,"Blended fat and oils, QUAL Low sodium / reduced salt",0.002,0.002,0.002,0.002,0.002,0.002,0.002
Animal and vegetable fats and oils,Blended frying oil/fats,0.011,0.003,0.01,,0.01,0.011,0.01
Animal and vegetable fats and oils,Blended margarine,0.019,0.006,0.029,0.04,0.019,0.019,0.029
Animal and vegetable fats and oils,"Blended margarine, QUAL Half fat or medium fat",0.032,0.003,0.032,0.003,0.032,0.032,0.032
