Food class level 1,Food (FoodEx2 description),Finland,France,Germany,Italy,Netherlands,Sweden,United Kingdom
"Additives,flavours, baking and processing aids","Artificial sweeteners (e.g., aspartam, saccharine)",,,0,,,0,0
"Additives,flavours, baking and processing aids",Aspartame,0,0,0,,0,0,0
"Additives,flavours, baking and processing aids",Baking yeast,340,1500,473,394,390,395,1290
"Additives,flavours, baking and processing aids",Cyclamate,0,0,0,0,0,0,0
"Additives,flavours, baking and processing aids",Flavour enhancer,0,0,0,0,0,0,0
"Additives,flavours, baking and processing aids",Modified starch,5,5,5,5,5,5,5
"Additives,flavours, baking and processing aids",Preparations for gelling home-made food,30,30,30,30,30,30,30
"Additives,flavours, baking and processing aids",Preparations for pickling vegetables,0,0,0,0,0,0,0
"Additives,flavours, baking and processing aids",Preparations for raising and flavouring home-made bakery,8400,8430,8430,8430,8430,8400,8430
"Additives,flavours, baking and processing aids",Saccharine,0,0,0,,0,0,0
"Additives,flavours, baking and processing aids",Vanilla essence,,,,6,,,
"Additives,flavours, baking and processing aids",Vanilla pods extract,61,61,61,61,61,61,61
Alcoholic beverages,Alcopop and flavoured wine,,6,6,6,,,
Alcoholic beverages,Ale beer,29,29,29,19,11,29,11
Alcoholic beverages,"Beer, alcohol-free",15,9.9,20,10,12,,19
Alcoholic beverages,"Beer, light",15,10.5,26,12,12,15,12
Alcoholic beverages,"Beer, regular",22,19.8,32,28,28,22,19
Alcoholic beverages,"Beer, strong",25,18,50,26,20,25,40
Alcoholic beverages,Brandy,,,3,1,,,
Alcoholic beverages,Champagne-like wine,,7,10,7,7,,7
Alcoholic beverages,Chocolate liqueur,6,6,6,6,,6,
Alcoholic beverages,Cider,23,4.8,9,3,8,5,3
Alcoholic beverages,Cocktail drink,13.6,18.1,7,18.1,18.1,,7
Alcoholic beverages,Coffee liqueur,6,6,6,6,,6,
Alcoholic beverages,Cream liqueur,34.9,35,35,38,19,34.9,38
Alcoholic beverages,Egg liqueur,50,50,50,50,81,50,81
Alcoholic beverages,Fruit liqueur,,3,3,3,,,
Alcoholic beverages,Gin,,,,4,,,
Alcoholic beverages,Herb liqueur,,,3,,,,
Alcoholic beverages,Ice wine,13,13,13,13,13,13,13
Alcoholic beverages,Lager beer,9,19.8,32,19.8,9,9,19
Alcoholic beverages,Low-malt beers,25,25,25,25,25,25,25
Alcoholic beverages,Madeira,9.4,,,,,9.4,
Alcoholic beverages,Mixed beer drinks,15,15,15,15,15,15,15
Alcoholic beverages,Noble rot wine,13,13,13,13,13,13,13
Alcoholic beverages,Port,9.4,11.3,12,12,12,9.4,12
Alcoholic beverages,Raisin wine,9.4,9.4,9.4,9.4,9.4,9.4,9.4
Alcoholic beverages,Red or rosé sparkling wine,6,6,6,6,6,6,6
Alcoholic beverages,Rum,,5,5,5,,,27
Alcoholic beverages,Shandy,15,9.9,15,9.9,3,15,5
Alcoholic beverages,Sherry,9.4,11.3,11,24,7,37,24
Alcoholic beverages,Spirits made from stone fruits,3,3,3,7,3,3,3
Alcoholic beverages,Stout beer,17,17,17,26,26,17,26
Alcoholic beverages,Tequila and similar spirits,3,,3,,,3,3
Alcoholic beverages,Vermouth,9.4,6.5,7,6.5,7,9.4,6
Alcoholic beverages,Vodka and vodka-like spirits,,5,5,5,5,,27
Alcoholic beverages,Wheat beer,13,13,13,13,13,13,13
Alcoholic beverages,Whisky,,5,5,,,,
Alcoholic beverages,"Wine, red",10,13,10,13,12,15,13
Alcoholic beverages,"Wine, rosé",,10.5,6,6,6,,6
Alcoholic beverages,"Wine, white",6,18,15,74,8,20,8
Animal and vegetable fats and oils,Beef tallow (including processed suet),,7,7,7,,,
Animal and vegetable fats and oils,Blended fat and oils,34,39,39,39,24,34,24
Animal and vegetable fats and oils,"Blended fat and oils, QUAL Half fat or medium fat",20.8,96,96,96,96,20.8,96
Animal and vegetable fats and oils,"Blended fat and oils, QUAL Low fat (naturally or reduced)",87.8,160,160,160,160,87.8,160
Animal and vegetable fats and oils,"Blended fat and oils, QUAL Low sodium / reduced salt",39,39,39,39,39,39,39
Animal and vegetable fats and oils,Blended frying oil/fats,22,0.7,3,,3,22,3
Animal and vegetable fats and oils,Blended margarine,26,12,28,12,17.8,26,18
Animal and vegetable fats and oils,"Blended margarine, QUAL Half fat or medium fat",34,8,36,8,36,34,36
Animal and vegetable fats and oils,"Blended margarine, QUAL Low fat (naturally or reduced)",36,288,36,288,288,36,36
Animal and vegetable fats and oils,"Blended margarine, QUAL Low sodium / reduced salt",8,8,8,8,8,8,8
Animal and vegetable fats and oils,Butter,34,24,21,16,23,26,23
Animal and vegetable fats and oils,Butter and margarine/oil blends,,24,24,24,24,,24
Animal and vegetable fats and oils,"Butter and margarine/oil blends, QUAL Half fat or medium fat",40,40,40,40,40,40,40
Animal and vegetable fats and oils,"Butter and margarine/oil blends, QUAL Low fat (naturally or reduced)",40,40,40,40,40,40,40
Animal and vegetable fats and oils,Butter oil,29,1,1,1,29,29,29
Animal and vegetable fats and oils,"Butter, QUAL Half fat or medium fat",,,90,,40,,40
Animal and vegetable fats and oils,"Butter, QUAL Low fat (naturally or reduced)",75,75,90,75,40,90,40
Animal and vegetable fats and oils,Cocoa butter,0,0,0,0,0,0,0
Animal and vegetable fats and oils,Coconut oil/fat,,,1,,,,1
Animal and vegetable fats and oils,Cod liver oil,,,1,,,,1
