Food.code,Food_Compass_Score_2
73111200,73
73111202,73
75208013,73
75224132,73
75223013,73
75315300,73
73111235,72
75143200,72
73102228,72
75233031,72
75316020,72
73405023,72
75307003,72
75211010,72
73201025,72
73201028,72
73201031,72
74503010,72
75204980,72
75205000,72
75205010,72
75330153,72
71104010,72
75109600,72
75208021,72
73405010,72
75208010,72
75503030,71
71104070,71
71704000,71
73410110,71
71961010,71
74505000,71
74505020,71
75218501,71
73303022,71
75204982,71
75205012,71
75206000,71
75206010,71
75206022,71
75204030,71
75215509,71
75223023,71
75224030,71
75315023,71
73421000,71
75221031,71
75221033,71
75302050,71
75222010,71
75507000,70
73102203,70
75214023,70
71104000,70
71104020,70
75221019,70
75317010,70
71905000,70
75204981,70
75205001,70
75205011,70
75302200,70
75302210,70
75222020,70
75223000,70
75223001,70
75223002,70
75223020,70
75224023,70
75218500,70
75204012,70
75216720,69
71104130,69
75235750,69
71103135,69
75226040,69
75311023,69
73405000,69
73405020,69
75221030,69
75315200,69
75315215,69
73405110,69
75302050,69
75311028,69
75315010,69
75220049,68
71103030,68
75204983,68
75205003,68
75205013,68
75315999,68
75510030,68
71703990,68
75221021,68
75302513,68
75208120,68
71901010,68
73407050,68
75204032,68
75224047,68
75200100,68
75200120,68
75311000,68
75311002,68
75204010,68
75204013,68
75205051,67
75233220,67
75233223,67
71910310,67
75226000,67
75228000,67
75311003,67
73111225,67
73111228,67
73111231,67
75215040,67
75225015,67
73102215,67
75225014,67
72125230,66
71905110,66
71900200,66
73407060,66
75234000,66
75234003,66
75234022,66
75513010,66
75204033,66
75216134,66
75216137,66
75303021,66
75315020,66
71103125,66
71104050,66
75204001,66
75204021,66
75204022,66
75224010,66
75224012,66
75301110,66
74204010,65
74204013,65
75208023,65
75510010,65
71962040,65
73111203,65
75224033,65
75233025,65
75317000,65
71950010,65
71962020,65
75301121,65
71508001,65
75223003,65
75223021,65
75303010,65
71101150,65
71941120,65
71945010,65
75223031,65
71401010,64
75206003,64
75206023,64
75510000,64
75510020,64
71103150,64
71104090,64
73401000,64
75216310,64
75224051,64
75216024,64
75216027,64
75216131,64
75216177,64
75234001,64
75216111,64
71103320,64
73410300,63
73410310,63
71603010,63
71401015,63
71905120,63
71104150,63
75204970,63
75226062,63
71701000,63
73402022,63
75216227,63
71103010,63
71941130,63
73403022,63
75301120,63
75315100,63
75315120,63
71101110,63
71104120,63
75204023,63
75204964,63
75205042,63
71103110,63
75204967,63
75206037,63
71603030,62
71403500,62
73407000,62
71403000,62
71103050,62
71103105,62
71104040,62
71104060,62
71603045,62
74504122,62
75311031,62
71103115,62
74505022,62
71101000,62
75216224,62
75216232,62
71100100,62
75221000,62
75221002,62
75221020,62
75221022,62
75301123,62
75315305,62
75315310,62
75330130,62
75330150,62
75216011,62
75216211,62
75315000,62
71962010,62
75216112,62
75311025,62
75208500,62
73410200,61
71602950,61
73303040,61
71403040,61
71405010,61
71601030,61
74205011,61
71603035,61
71410000,61
75217000,61
75316023,61
71103200,61
71103220,61
71900100,61
75208520,61
75216179,61
75216171,61
75224041,61
71403020,60
71603025,60
71600950,60
75440200,60
71102990,60
71103000,60
71103020,60
71104030,60
71104100,60
71104110,60
71104200,60
71910210,60
71103300,60
71103310,60
71703040,60
75216121,60
71106000,60
71910110,60
75216026,60
75216033,60
75216122,60
75216133,60
75216136,60
75216139,60
75216229,60
75221001,60
75228022,60
75208000,60
75208001,60
75234028,60
75222000,60
75223028,60
75223034,60
75505000,59
71603015,59
75208020,59
75216320,59
73111234,59
74503009,59
74503011,59
75306999,59
77121010,59
71905008,59
75224050,59
75302500,59
75302510,59
71106010,59
71501080,59
71601035,59
75302212,59
71501090,59
75204000,59
75204002,59
75204020,59
75502010,58
71603040,58
75216323,58
71603020,58
74202051,58
71601015,58
71601025,58
75215990,58
71508040,58
75224013,58
75226022,58
75317012,58
75216226,58
75315022,58
75216010,58
75216012,58
75216110,58
75515100,57
75216141,57
75233210,57
71601020,57
71601040,57
71305011,57
71970200,57
73420000,56
75510050,56
75216700,56
71401031,56
71000100,56
71102980,56
71507040,56
71941110,56
75208003,56
71601045,56
73405022,56
75216135,56
71905010,56
75330152,56
71403010,56
75216170,56
75216172,56
75221015,56
73410320,55
73410500,55
73420200,55
75502510,55
71405019,55
74204011,55
71930190,55
77201210,55
71405100,55
71305010,55
71101100,55
71101120,55
75221018,55
75303000,55
75303020,55
75307002,55
71970110,55
71970120,55
71970130,55
75222022,55
75216210,55
75216212,55
75500110,54
77205110,54
71103100,54
71103120,54
75204003,54
71602010,54
75216138,54
75204031,54
73420020,53
75503080,53
73301030,53
71703000,53
75503085,53
75216113,53
71106070,53
71930130,53
73407030,52
73407020,52
73303030,52
75205200,52
71508060,52
77121110,52
71501050,52
75216300,52
75216322,52
71301021,52
75302512,52
71905100,52
75216000,52
75216001,52
75216002,52
75216020,52
75216021,52
75216022,52
75216100,52
75216101,52
75216102,52
75216161,52
75216181,52
75216201,52
75216221,52
71601050,52
75535000,51
75502500,51
72202030,51
75216143,51
71410500,51
75216123,51
71301020,51
71301000,51
75216013,51
71508050,51
75216213,51
75303022,51
73409000,51
71400990,50
71401000,50
75414030,50
71901110,50
75216036,50
75412010,50
71508035,50
75216722,50
71501020,50
71501030,50
71501310,50
75216173,50
71603050,50
75216162,50
75216180,50
75216182,50
75216160,50
75511020,49
71508070,49
71507035,49
75233222,49
71930120,49
71103140,49
71104080,49
71508005,49
71930150,49
71702000,49
75216178,49
75216200,49
75216202,49
75216220,49
75216222,49
75216228,49
75500510,48
73406010,48
73102240,48
71501011,48
71508030,48
75216120,48
71501000,48
71501010,48
71501013,48
71508020,48
71507050,48
71106020,48
71106050,48
75216028,48
75217022,48
75216025,48
75216132,48
71411000,47
75414500,47
71507030,47
71103040,47
71104140,47
71507005,47
71508000,47
71508010,47
71501070,47
71508120,47
73102241,46
75409020,46
71305015,46
71503010,46
71507020,46
71508025,46
71501060,46
74205020,45
74205010,45
75418010,45
71305030,45
75415021,45
71501045,45
75216142,45
71501012,45
71507010,45
75216233,45
71401033,44
71505020,44
71404050,44
75216070,44
71305050,44
71305070,44
71501016,44
71501300,44
71507025,44
75216003,44
75216023,44
75216103,44
71930100,44
73102242,43
71305020,43
71305040,43
71501035,43
75216163,43
75216183,43
75216223,43
71507000,43
71401041,42
73410400,42
71501040,42
71301120,42
71305110,42
71403050,41
71405030,41
71405040,41
75515010,41
71305080,41
71501017,41
71501025,41
71305060,41
71501055,41
71501015,41
71404000,40
71402500,40
71501200,40
75534030,40
75511300,40
71501054,40
75216035,40
71930090,40
71401032,39
71501018,39
75216188,39
71401030,38
71402510,38
71404040,37
71505000,37
75500210,37
71405000,36
71405020,36
71405050,36
71404010,36
71404030,36
71402520,36
73406000,36
71505030,36
71930140,36
71401020,35
71401035,35
71401045,35
71601010,34
71905210,34
71401039,33
71404020,33
71401050,33
73102243,33
71701500,33
71501005,32
71402505,32
71403030,31
73304010,31
74202050,31
71501071,30
71505050,29
71505060,29
75216153,29
71501006,28
75216193,28
75216053,27
75216190,27
75411020,27
75512010,25
71501007,25
71501061,25
71505040,25
75216050,25
75216150,25
75216253,24
71505010,23
71501075,23
75216250,23
75415022,21
71402040,21
75503100,20
75501010,20
75415020,18
91408100,15
75503140,9
75503040,1
75503050,1
75503020,1
75511200,1
41107000,100
41420020,100
41422010,100
41440000,100
42100100,100
42101000,100
42101210,100
42111040,100
43101000,100
43102000,100
43102100,100
43102110,100
43102400,100
43103050,100
43104000,100
43107000,100
43108010,100
41301020,100
