Food code,WWEIA Category number
11000000,9602
11100000,1004
11111000,1002
11111100,1002
11111150,1002
11111160,1006
11111170,1008
11112110,1004
11112120,1006
11112130,1004
11112210,1006
11113000,1008
11114300,1006
11114320,1008
11114330,1004
11114350,1002
11115000,1008
11115100,1006
11115200,1004
11115300,1002
11115400,1006
11116000,1002
11120000,1008
11121100,1002
11121210,1006
11121300,1008
11210050,1002
11211050,1002
11211400,1004
11212050,1008
11220000,1202
11300100,1404
11320000,1404
11320100,1404
11320200,1404
11321000,1404
11321100,1404
11321200,1404
11350000,1404
11350010,1404
11350020,1404
11350030,1404
11360000,1404
11370000,1404
11400000,1820
11400010,1822
11410000,1820
11411010,1820
11411100,1820
11411200,1820
11411300,1820
11411390,1822
11411400,1822
11411410,1822
11411420,1822
11430000,1820
11431000,1820
11432000,1820
11433000,1820
11433990,1822
11434000,1822
11434010,1822
11434020,1822
11434090,1820
11434100,1820
11434200,1820
11434300,1820
11435000,1822
11435010,1822
11435020,1822
11435030,1822
11435100,1822
11436000,1820
11440010,8412
11440020,8412
11440030,8412
11440040,8412
11440050,8412
11440060,8412
11440070,8412
11446000,1820
11459990,5802
11460000,5802
11460100,5802
11460500,5802
11460510,5802
11461200,5802
11461210,5802
11461220,5802
11461250,5802
11461260,5802
11461300,5802
11461320,5802
11480010,9010
11480020,9010
11480030,9010
11480040,9010
11511000,1208
11511100,1202
11511200,1204
11511300,1208
11511400,1206
11511550,1206
11511600,1206
11511610,1208
11511700,1206
11512010,1204
11512020,1208
11512030,1404
11512100,1204
11512110,1208
11512120,1404
11513000,1204
11513100,1202
11513150,1204
11513200,1206
11513300,1208
11513310,1404
11513350,1204
11513355,1202
11513360,1204
11513365,1206
11513370,1208
11513375,1404
11513380,1204
11513381,1202
11513382,1204
11513383,1206
11513384,1208
11513385,1404
11513390,1204
11513391,1202
11513392,1204
11513393,1206
11513394,1208
11513395,1404
11513400,1204
11513500,1202
11513550,1204
11513600,1206
11513700,1208
11513750,1404
11513800,1204
11513801,1202
11513802,1204
11513803,1206
11513804,1208
11513805,1404
11513850,1204
11513851,1202
11513852,1204
11513853,1206
11513854,1208
11513855,1404
11514100,1208
11514110,1202
11514120,1204
11514130,1206
11514140,1208
11514150,1404
11514310,1208
11514320,1202
11514330,1204
11514340,1206
11514350,1208
11514360,1404
11519040,1204
11519050,1202
11519105,1204
11519200,1206
11519205,1208
11519210,1206
11519215,1404
11526000,1204
11531000,1402
11541110,1402
11541120,1402
11541130,1402
11541135,1402
11541400,1402
11542100,1402
11542200,1402
11543000,1402
11543010,1402
11551050,7220
11553100,7220
11553110,7220
11553120,7220
11553130,7220
11560000,1402
11710000,9402
11710050,9402
11710051,9402
11710053,9404
11710054,9404
11710055,9404
11710056,9404
11710350,9402
11710351,9402
11710352,9406
11710353,9404
11710354,9406
11710355,9406
11710356,9406
11710357,9404
11710358,9404
11710359,9404
11710360,9402
11710361,9402
11710363,9404
11710367,9404
11710368,9404
11710369,9404
11710370,9402
11710371,9402
11710372,9406
11710373,9404
11710374,9406
11710375,9406
11710376,9406
11710377,9404
11710378,9404
11710379,9404
11710380,9402
11710381,9402
11710383,9404
11710470,9402
11710471,9402
11710473,9404
11710477,9404
11710478,9404
11710479,9404
11710480,9402
11710481,9404
11710620,9402
11710621,9402
11710626,9404
11710627,9404
11710628,9404
11710629,9404
11710630,9402
11710631,9402
11710632,9406
11710633,9406
11710634,9406
11710635,9406
11710636,9404
11710637,9404
11710638,9404
11710639,9404
11710660,9402
11710661,9402
11710663,9404
11710664,9404
11710665,9402
11710666,9402
11710667,9404
11710668,9404
11710669,9404
11710670,9402
11710671,9402
11710673,9404
11710674,9404
11710675,9404
11710676,9404
11710677,9404
11710678,9404
11710679,9404
11710680,9402
11710681,9402
11710683,9404
11710687,9404
11710688,9404
11710689,9404
11710690,9402
11710693,9404
11710697,9404
11710698,9404
11710699,9404
11710800,9402
11710801,9402
11710805,9402
11710806,9402
11710910,9402
11710911,9402
11710912,9406
11710913,9404
11710914,9406
11710915,9406
11710916,9406
11710917,9404
11710918,9404
11710919,9404
11710920,9402
11710923,9404
11710927,9404
11710928,9404
11710929,9404
11710930,9402
11710940,9402
11710960,9402
11710961,9406
11710962,9404
11710963,9402
11710964,9406
11710965,9406
11710966,9406
11710967,9404
11710968,9404
11710969,9404
11720310,9402
11720311,9402
11720312,9406
11720313,9404
11720314,9406
11720315,9406
11720316,9406
11720317,9404
11720318,9404
11720319,9404
11720320,9402
11720323,9404
11720410,9402
11720411,9402
11720412,9406
11720413,9404
11720414,9406
11720415,9406
11720416,9406
11720417,9404
11720418,9404
11720419,9404
11720430,9402
11720431,9402
11720610,9402
11720611,9402
11720612,9406
11720613,9404
11720614,9406
11720615,9406
11720616,9406
11720617,9404
11720618,9404
11720619,9404
11720620,9402
11720800,9402
11720801,9402
11720802,9406
11720803,9404
11720807,9404
11720808,9404
11720809,9404
11740310,9402
11740311,9402
11740312,9406
11740313,9404
11740320,9402
11740323,9404
11740400,9402
11740401,9402
11740403,9404
11740511,9402
11740521,9402
11810000,9999
11811000,9999
11812000,9999
11813000,9999
11825000,9999
11830150,9999
11830160,9999
11830165,9999
11830260,9999
11830400,9999
12100100,8008
12110100,8008
12120100,8008
12120106,8008
12120110,8008
12130100,8008
12140000,8006
12200100,8008
12210200,8008
12210210,8008
12210260,8008
12210270,8008
12210280,8008
12210310,8008
12210400,8008
12210420,8008
12210430,8008
12210440,8008
12210505,8008
12210520,8008
12220200,8006
12220270,8006
12220280,8006
12310100,8006
12310350,8006
12310370,8006
12320100,8006
12350010,8412
12350200,8412
12350205,8412
12350210,8412
12350215,8412
12350220,8412
12350225,8412
12350230,8412
12350235,8412
12350240,8412
12350245,8412
12350250,8412
12350255,8412
13110000,5802
13110100,5802
13110102,5802
13110110,5802
13110112,5802
13110200,5802
13110210,5802
13110460,5802
13110470,5802
13120050,5802
13120100,5802
13120110,5802
13120140,5802
13120500,5802
13120510,5802
13120550,5802
13120730,5802
13120735,5802
13120740,5802
13120770,5802
13120775,5802
13120782,5802
13120784,5802
13120786,5802
13120788,5802
13120790,5802
13120792,5802
13120800,1402
13120810,1402
13121000,5802
13121100,5802
13121120,5802
13121300,5802
13121400,5802
13126000,5802
13130100,5802
13130300,5802
13130310,5802
13130700,5802
13135000,5802
13135010,5802
13140000,5802
13140100,5802
13140115,5802
13140700,5802
13140710,5802
13140900,5802
13142100,5802
