"","Food.code","WWEIA.Category.number"
"1",11000000,9602
"2",11100000,1004
"3",11111000,1002
"4",11111100,1002
"5",11111150,1002
"6",11111160,1006
"7",11111170,1008
"8",11112110,1004
"9",11112120,1006
"10",11112130,1004
"11",11112210,1006
"12",11113000,1008
"13",11114300,1006
"14",11114320,1008
"15",11114330,1004
"16",11114350,1002
"17",11115000,1008
"18",11115100,1006
"19",11115200,1004
"20",11115300,1002
"21",11115400,1006
"22",11116000,1002
"23",11120000,1008
"24",11121100,1002
"25",11121210,1006
"26",11121300,1008
"27",11210050,1002
"28",11211050,1002
"29",11211400,1004
"30",11212050,1008
"31",11220000,1202
"32",11300100,1404
"33",11320000,1404
"34",11320100,1404
"35",11320200,1404
"36",11321000,1404
"37",11321100,1404
"38",11321200,1404
"39",11350000,1404
"40",11350010,1404
"41",11350020,1404
"42",11350030,1404
"43",11360000,1404
"44",11370000,1404
"45",11400000,1820
"46",11400010,1822
"47",11410000,1820
"48",11411010,1820
"49",11411100,1820
"50",11411200,1820
"51",11411300,1820
"52",11411390,1822
"53",11411400,1822
"54",11411410,1822
"55",11411420,1822
"56",11430000,1820
"57",11431000,1820
"58",11432000,1820
"59",11433000,1820
"60",11433990,1822
"61",11434000,1822
"62",11434010,1822
"63",11434020,1822
"64",11434090,1820
"65",11434100,1820
"66",11434200,1820
"67",11434300,1820
"68",11435000,1822
"69",11435010,1822
"70",11435020,1822
"71",11435030,1822
"72",11435100,1822
"73",11436000,1820
"74",11440010,8412
"75",11440020,8412
"76",11440030,8412
"77",11440040,8412
"78",11440050,8412
"79",11440060,8412
"80",11440070,8412
"81",11446000,1820
"82",11459990,5802
"83",11460000,5802
"84",11460100,5802
"85",11460500,5802
"86",11460510,5802
"87",11461200,5802
"88",11461210,5802
"89",11461220,5802
"90",11461250,5802
"91",11461260,5802
"92",11461300,5802
"93",11461320,5802
"94",11480010,9010
"95",11480020,9010
"96",11480030,9010
"97",11480040,9010
"98",11511000,1208
"99",11511100,1202
"100",11511200,1204
"101",11511300,1208
"102",11511400,1206
"103",11511550,1206
"104",11511600,1206
"105",11511610,1208
"106",11511700,1206
"107",11512010,1204
"108",11512020,1208
"109",11512030,1404
"110",11512100,1204
"111",11512110,1208
"112",11512120,1404
"113",11513000,1204
"114",11513100,1202
"115",11513150,1204
"116",11513200,1206
"117",11513300,1208
"118",11513310,1404
"119",11513350,1204
"120",11513355,1202
"121",11513360,1204
"122",11513365,1206
"123",11513370,1208
"124",11513375,1404
"125",11513380,1204
"126",11513381,1202
"127",11513382,1204
"128",11513383,1206
"129",11513384,1208
"130",11513385,1404
"131",11513390,1204
"132",11513391,1202
"133",11513392,1204
"134",11513393,1206
"135",11513394,1208
"136",11513395,1404
"137",11513400,1204
"138",11513500,1202
"139",11513550,1204
"140",11513600,1206
"141",11513700,1208
"142",11513750,1404
