Protein,Total Fat,Carbohydrate,Alcohol,Water,Caffeine,Theobromine,"Sugars, total","Fiber, total dietary",Calcium,Iron,Magnesium,Phosphorus,Potassium,Sodium,Zinc,Copper,Selenium,Retinol,"Carotene, beta","Carotene, alpha",Vitamin E (alpha-tocopherol),Vitamin D (D2 + D3),"Cryptoxanthin, beta",Lycopene,Lutein + zeaxanthin,Vitamin C,Thiamin,Riboflavin,Niacin,Vitamin B-6,"Folate, total",Vitamin B-12,"Choline, total",Vitamin K (phylloquinone),Folic acid,"Folate, food","Vitamin E, added","Vitamin B-12, added",Cholesterol,"Fatty acids, total saturated",4:00,6:00,8:00,10:00,12:00,14:00,16:00,18:00,18:01,18:02,18:03,20:04,22:6 n-3,16:01,18:04,20:01,20:5 n-3,22:01,22:5 n-3,"Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated",Daidzein,Genistein,Glycitein,Cyanidin,Petunidin,Delphinidin,Malvidin,Pelargonidin,Peonidin,(+)-Catechin,(-)-Epigallocatechin,(-)-Epicatechin,(-)-Epicatechin 3-gallate,(-)-Epigallocatechin 3-gallate,Theaflavin,Thearubigins,Eriodictyol,Hesperetin,Naringenin,Apigenin,Luteolin,Isorhamnetin,Kaempferol,Myricetin,Quercetin,"Theaflavin-3,3'-digallate",Theaflavin-3'-gallate,Theaflavin-3-gallate,(+)-Gallocatechin,Total flavonoids,Total anthocyanidins,Total catechins (monomeric flavan-3-ols only),Total flavan-3-ols,Total flavanones,Total flavones,Total flavonols,Total isoflavones,Food_code,Main_food_description,catnumb,catname,novaclass,macroclass,pythonlabel
-20,-20,-20,-20,-1.609437912,-20,-20,-20,-20,-3.729701449,-8.016417904,-6.907755279,-20,-4.828313737,3.657337186,-9.210340372,-10.41431318,-16.11809565,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,2047,"Salt, table",0,addition1516,2,Other,1
0.029558802,1.477048724,1.930071085,-20,4.471638793,-20,-20,1.930071085,-20,-3.442019376,-10.41431318,-5.80914299,-4.268697949,-2.975929646,-4.074541935,-8.679712121,-9.864266839,-13.22772389,-9.721165996,-11.86960041,-20,-9.433483923,-16.11809565,-20,-20,-20,-5.298317367,-11.17645323,-10.23199162,-8.639360825,-11.41761529,-12.20607265,-16.81124283,-4.135166557,-15.01948336,-20,-12.20607265,-20,-20,-4.268697949,0.697637086,-20,-20,-20,-2.764620553,-1.362577835,-1.136314156,-0.084469157,-1.22758267,0.38865799,-0.983499482,-2.95651156,-3.649658741,-20,-2.047942875,-20,-3.218875825,-20,-20,-20,0.505612057,-0.699165253,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,11000000,"Milk, human",9602,Human milk,1,Milk,0
1.187843422,0.647103242,1.578978705,-20,4.491441421,-20,-20,1.625311262,-20,-2.128631786,-10.41431318,-4.509860006,-2.396895772,-1.951928221,-3.123565645,-7.751725349,-11.17645323,-12.68410845,-9.845218644,-12.4292162,-20,-10.1266311,-13.633189,-20,-20,-20,-9.210340372,-10.1266311,-8.622553707,-9.293721981,-10.20459265,-12.20607265,-14.52886045,-4.147745339,-15.42494847,-20,-12.20607265,-20,-20,-4.96184513,0.143234168,-2.864704011,-3.194183212,-3.411247718,-3.079113882,-3.015934981,-1.754463684,-0.667479434,-1.491654877,-0.727738625,-2.733368009,-3.611918413,-20,-20,-4.342805922,-20,-6.907755279,-20,-20,-20,-0.679244275,-2.364460497,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,11100000,"Milk, NFS",1004,"Milk, reduced fat",1,Milk,0
1.147402453,1.178654996,1.568615918,-20,4.478812997,-20,-20,1.619388243,-20,-2.18036746,-10.41431318,-4.605170186,-2.47693848,-2.024953356,-3.146555163,-7.902007552,-10.59663473,-12.50717774,-10.00884807,-11.86960041,-20,-9.567015316,-13.55314629,-20,-20,-20,-20,-9.986869161,-8.685611843,-9.326874188,-10.23199162,-12.20607265,-14.61401825,-4.247495742,-15.01948336,-20,-12.20607265,-20,-20,-4.605170186,0.623261053,-2.590267165,-2.590267165,-2.590267165,-2.590267165,-2.563949857,-1.21402314,-0.187535124,-1.007857925,-0.208254939,-2.120263536,-2.590267165,-20,-20,-20,-20,-20,-20,-20,-20,-0.208254939,-1.63475572,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,11111000,"Milk, cow's, fluid, whole",1002,"Milk, whole",1,Milk,0
1.131402111,1.241268589,1.495148766,-20,4.479606963,-20,-20,1.495148766,-20,-2.292634762,-9.903487553,-5.298317367,-2.453407983,-1.37436579,-5.80914299,-7.875339305,-11.51292546,-13.12236338,-10.48330605,-11.86960041,-20,-9.433483923,-13.55314629,-20,-20,-20,-7.013115795,-10.81977828,-9.161550208,-10.05431044,-10.28915003,-12.20607265,-14.83716181,-4.135166557,-15.01948336,-20,-12.20607265,-20,-20,-4.268697949,0.767326579,-2.189256408,-2.718100537,-3.244193633,-2.44184716,-2.3330443,-1.055552799,-0.094310679,-0.869884359,-0.139262067,-2.551046452,-2.995732274,-20,-20,-2.563949857,-20,-20,-20,-20,-20,-0.0010005,-2.055725015,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,11111100,"Milk, cow's, fluid, whole, low-sodium",1002,"Milk, whole",1,Milk,0
1.1442228,1.17557333,1.566530411,-20,4.47585845,-20,-20,1.617406082,-20,-0.88673193,-10.41431318,-4.605170186,-2.47693848,-2.024953356,-3.146555163,-7.902007552,-10.59663473,-12.50717774,-10.00884807,-11.86960041,-20,-9.567015316,-13.55314629,-20,-20,-20,-20,-9.986869161,-8.691546579,-9.326874188,-10.23199162,-12.20607265,-14.61401825,-4.247495742,-15.01948336,-20,-12.20607265,-20,-20,-4.605170186,0.620038709,-2.590267165,-2.590267165,-2.590267165,-2.590267165,-2.563949857,-1.217395825,-0.189950584,-1.010601411,-0.210721031,-2.120263536,-2.590267165,-20,-20,-20,-20,-20,-20,-20,-20,-0.210721031,-1.63989712,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,11111150,"Milk, calcium fortified, cow's, fluid, whole",1002,"Milk, whole",1,Milk,0
1.214912744,-0.030459207,1.60743591,-20,4.497918995,-20,-20,1.648658626,-20,-1.491654877,-10.41431318,-4.509860006,-2.353878387,-1.897119985,-3.123565645,-7.775255847,-11.51292546,-12.62158809,-9.755067547,-13.12236338,-20,-11.51292546,-13.633189,-20,-20,-20,-20,-10.81977828,-8.595154733,-9.282911065,-10.20459265,-12.20607265,-14.57053314,-4.034190639,-16.11809565,-20,-12.20607265,-20,-20,-5.298317367,-0.458865885,-3.729701449,-4.017383521,-4.342805922,-3.611918413,-3.540459449,-2.396895772,-1.248273063,-2.071473372,-1.386294361,-3.506557897,-5.521460918,-20,-20,-4.074541935,-20,-20,-20,-20,-20,-1.283737773,-3.352407217,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,11111160,"Milk, calcium fortified, cow's, fluid, 1% fat",1006,"Milk, lowfat",1,Milk,0
1.223775432,-1.714798428,1.578978705,-20,4.508659286,-20,-20,1.578978705,-20,-1.589635285,-10.1266311,-4.509860006,-2.292634762,-1.795767491,-2.95651156,-7.824046011,-11.41761529,-13.07357321,-8.895529632,-20,-20,-11.51292546,-13.633189,-20,-20,-20,-6.907755279,-10.23199162,-8.873868135,-9.338173743,-10.1266311,-12.20607265,-14.78309458,-4.135166557,-20,-20,-12.20607265,-20,-20,-6.214608098,-2.145581344,-4.710530702,-6.907755279,-6.214608098,-5.521460918,-5.80914299,-4.074541935,-2.937463365,-3.9633163,-3.270169119,-5.298317367,-6.214608098,-20,-20,-4.96184513,-20,-20,-20,-20,-20,-3.057607677,-4.96184513,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,11111170,"Milk, calcium fortified, cow's, fluid, skim or nonfat",1008,"Milk, nonfat",1,Milk,0
1.193922468,0.683096845,1.568615918,-20,4.490993141,-20,-20,1.621366483,-20,-2.120263536,-10.81977828,-4.509860006,-2.385966702,-1.966112856,-3.057607677,-7.641724454,-12.02375109,-12.89921983,-9.808177373,-12.4292162,-20,-10.41431318,-13.633189,-20,-20,-20,-8.517193191,-10.15194891,-8.595154733,-9.293721981,-10.1779244,-12.20607265,-14.45038883,-4.110473944,-15.42494847,-20,-12.20607265,-20,-20,-4.828313737,0.22872793,-2.563949857,-3.218875825,-3.912023005,-3.015934981,-2.900422094,-1.742969305,-0.583396317,-1.414693836,-0.677273831,-2.780620894,-4.828313737,-20,-20,-3.611918413,-20,-6.214608098,-20,-20,-20,-0.579818495,-2.617295838,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,11112110,"Milk, cow's, fluid, 2% fat",1004,"Milk, reduced fat",1,Milk,0
1.214912744,-0.030459207,1.60743591,-20,4.498920386,-20,-20,1.648658626,-20,-2.079441542,-10.41431318,-4.509860006,-2.353878387,-1.897119985,-3.123565645,-7.775255847,-11.51292546,-12.62158809,-9.755067547,-13.12236338,-20,-11.51292546,-13.633189,-20,-20,-20,-20,-10.81977828,-8.595154733,-9.282911065,-10.20459265,-12.20607265,-14.57053314,-4.034190639,-16.11809565,-20,-12.20607265,-20,-20,-5.298317367,-0.457284857,-3.729701449,-4.017383521,-4.342805922,-3.611918413,-3.540459449,-2.396895772,-1.248273063,-2.071473372,-1.386294361,-3.506557897,-5.521460918,-20,-20,-4.074541935,-20,-20,-20,-20,-20,-1.283737773,-3.352407217,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,11112120,"Milk, cow's, fluid, acidophilus, 1% fat",1006,"Milk, lowfat",1,Milk,0
