,Protein,Total Fat,Carbohydrate,Alcohol,Water,Caffeine,Theobromine,"Sugars, total","Fiber, total dietary",Calcium,Iron,Magnesium,Phosphorus,Potassium,Sodium,Zinc,Copper,Selenium,Retinol,"Carotene, beta","Carotene, alpha",Vitamin E (alpha-tocopherol),Vitamin D (D2 + D3),"Cryptoxanthin, beta",Lycopene,Lutein + zeaxanthin,Vitamin C,Thiamin,Riboflavin,Niacin,Vitamin B-6,"Folate, total",Vitamin B-12,"Choline, total",Vitamin K (phylloquinone),Folic acid,"Folate, food","Vitamin E, added","Vitamin B-12, added",Cholesterol,"Fatty acids, total saturated",4:00,6:00,8:00,10:00,12:00,14:00,16:00,18:00,18:01,18:02,18:03,20:04,22:6 n-3,16:01,18:04,20:01,20:5 n-3,22:01,22:5 n-3,"Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated",classf1,p1f1,p2f1,p3f1,p4f1,FProf1,classf2,p1f2,p2f2,p3f2,p4f2,FProf2,classf3,p1f3,p2f3,p3f3,p4f3,FProf3,classf4,p1f4,p2f4,p3f4,p4f4,FProf4,classf5,p1f5,p2f5,p3f5,p4f5,FProf5,p1,std_p1,p2,std_p2,p3,std_p3,p4,std_p4,FPro,std_FPro,min_FPro,max_p,class,min_in_which_fold,min_fold_id,min_class,p1_minFPro,p2_minFPro,p3_minFPro,p4_minFPro,Food code
0,0.029558802,1.477048724,1.930071085,-20,4.471638793,-20,-20,1.930071085,-20,-3.442019376,-10.41431318,-5.80914299,-4.268697949,-2.975929646,-4.074541935,-8.679712121,-9.864266839,-13.22772389,-9.721165996,-11.86960041,-20,-9.433483923,-16.11809565,-20,-20,-20,-5.298317367,-11.17645323,-10.23199162,-8.639360825,-11.41761529,-12.20607265,-16.81124283,-4.135166557,-15.01948336,-20,-12.20607265,-20,-20,-4.268697949,0.697637086,-20,-20,-20,-2.764620553,-1.362577835,-1.136314156,-0.084469157,-1.22758267,0.38865799,-0.983499482,-2.95651156,-3.649658741,-20,-2.047942875,-20,-3.218875825,-20,-20,-20,0.505612057,-0.699165253,0,0.931435185185185,0.005,0.0155555555555556,0.0480092592592593,0.0582870370370371,0,0.699589947089947,0.0161111111111111,0.0516666666666667,0.232632275132275,0.266521164021164,0,0.885555555555555,0.00555555555555556,0.0316666666666667,0.0772222222222222,0.0958333333333333,0,0.905,0.00277777777777778,0.0169444444444444,0.0752777777777778,0.0851388888888889,0,0.917777777777778,0.00277777777777778,0.0186111111111111,0.0608333333333333,0.0715277777777778,0.867871693121693,0.0955783853948272,0.00644444444444444,0.00554999721944097,0.0268888888888889,0.0152694421704767,0.0987949735449736,0.0757481687825264,0.11546164021164,0.0856195639570498,0.0582870370370371,p1,0,FProf1,1,0,0.931435185185185,0.005,0.0155555555555556,0.0480092592592593,11000000
1,1.184789985,0.712949808,1.578978705,-20,4.490095978,-20,-20,1.625311262,-20,-2.128631786,-10.41431318,-4.509860006,-2.396895772,-1.958995389,-3.101092789,-7.775255847,-11.17645323,-12.68410845,-9.845218644,-12.4292162,-20,-10.1266311,-13.633189,-20,-20,-20,-9.210340372,-10.15194891,-8.628124752,-9.304651051,-10.20459265,-12.20607265,-14.52886045,-4.147745339,-15.42494847,-20,-12.20607265,-20,-20,-4.828313737,0.208638865,-2.830217835,-3.123565645,-3.324236341,-3.015934981,-2.95651156,-1.687399454,-0.601479992,-1.427116356,-0.659712404,-2.659260037,-3.506557897,-20,-20,-4.342805922,-20,-6.907755279,-20,-20,-20,-0.614336,-2.282782466,0,0.983981481481481,0.00388888888888889,0,0.0121296296296296,0.0140740740740741,0,0.99,0.000555555555555556,0.00222222222222222,0.00722222222222222,0.00861111111111111,0,0.993333333333333,0.00277777777777778,0,0.00388888888888889,0.0052777777777778,0,0.990555555555556,0.000555555555555556,0.00166666666666667,0.00722222222222222,0.00833333333333335,0,0.982076719576719,0.00166666666666667,0,0.0162566137566138,0.0170899470899471,0.987989417989418,0.00474890752709848,0.00188888888888889,0.00144871164560059,0.000777777777777778,0.00108297714942322,0.00934391534391534,0.00485556589021491,0.0106772486772487,0.00478482688518151,0.0052777777777778,p1,0,FProf3,3,0,0.993333333333333,0.00277777777777778,0,0.00388888888888889,11100000
2,1.147402453,1.178654996,1.568615918,-20,4.478812997,-20,-20,1.619388243,-20,-2.18036746,-10.41431318,-4.605170186,-2.47693848,-2.024953356,-3.146555163,-7.902007552,-10.59663473,-12.50717774,-10.00884807,-11.86960041,-20,-9.567015316,-13.55314629,-20,-20,-20,-20,-9.986869161,-8.685611843,-9.326874188,-10.23199162,-12.20607265,-14.61401825,-4.247495742,-15.01948336,-20,-12.20607265,-20,-20,-4.605170186,0.623261053,-2.590267165,-2.590267165,-2.590267165,-2.590267165,-2.563949857,-1.21402314,-0.187535124,-1.007857925,-0.208254939,-2.120263536,-2.590267165,-20,-20,-20,-20,-20,-20,-20,-20,-0.208254939,-1.63475572,0,1,0,0,0,0,0,0.996944444444444,0,0,0.00305555555555556,0.00305555555555557,0,1,0,0,0,0,0,0.997777777777778,0,0.000555555555555556,0.00166666666666667,0.00194444444444445,0,0.999444444444444,0,0,0.000555555555555556,0.000555555555555543,0.998833333333333,0.00139443337755681,0,0,0.000111111111111111,0.000248451997499977,0.00105555555555556,0.00130880210993219,0.00111111111111111,0.00134657773817121,0,p1,0,FProf1,1,0,1,0,0,0,11111000
3,1.131402111,1.241268589,1.495148766,-20,4.479606963,-20,-20,1.495148766,-20,-2.292634762,-9.903487553,-5.298317367,-2.453407983,-1.37436579,-5.80914299,-7.875339305,-11.51292546,-13.12236338,-10.48330605,-11.86960041,-20,-9.433483923,-13.55314629,-20,-20,-20,-7.013115795,-10.81977828,-9.161550208,-10.05431044,-10.28915003,-12.20607265,-14.83716181,-4.135166557,-15.01948336,-20,-12.20607265,-20,-20,-4.268697949,0.767326579,-2.189256408,-2.718100537,-3.244193633,-2.44184716,-2.3330443,-1.055552799,-0.094310679,-0.869884359,-0.139262067,-2.551046452,-2.995732274,-20,-20,-2.563949857,-20,-20,-20,-20,-20,-0.0010005,-2.055725015,0,0.827407407407407,0.0405555555555556,0.0172222222222222,0.114814814814815,0.143703703703704,0,0.935277777777778,0.0144444444444444,0.00777777777777778,0.0425,0.0536111111111111,0,0.937777777777778,0.015,0.00611111111111111,0.0411111111111111,0.0516666666666666,0,0.921666666666667,0.00777777777777778,0.00555555555555556,0.065,0.0716666666666667,0,0.91462962962963,0.0144444444444444,0.01,0.0609259259259259,0.0731481481481482,0.907351851851852,0.0457017189976653,0.0184444444444444,0.0127136069810709,0.00933333333333333,0.00473690527717605,0.0648703703703704,0.0298954797910011,0.0787592592592593,0.0376364458685085,0.0516666666666666,p1,0,FProf3,3,0,0.937777777777778,0.015,0.00611111111111111,0.0411111111111111,11111100
4,1.147402453,1.178654996,1.568615918,-20,4.478812997,-20,-20,1.619388243,-20,-2.18036746,-10.41431318,-4.605170186,-2.47693848,-2.024953356,-3.146555163,-7.902007552,-10.59663473,-12.50717774,-10.00884807,-11.86960041,-20,-9.567015316,-13.55314629,-20,-20,-20,-20,-9.986869161,-8.685611843,-9.326874188,-10.23199162,-12.20607265,-14.61401825,-4.247495742,-15.01948336,-20,-12.20607265,-20,-20,-4.605170186,0.623261053,-2.590267165,-2.590267165,-2.590267165,-2.590267165,-2.563949857,-1.21402314,-0.187535124,-1.007857925,-0.208254939,-2.120263536,-2.590267165,-20,-20,-20,-20,-20,-20,-20,-20,-0.208254939,-1.63475572,0,1,0,0,0,0,0,0.996944444444444,0,0,0.00305555555555556,0.00305555555555557,0,1,0,0,0,0,0,0.997777777777778,0,0.000555555555555556,0.00166666666666667,0.00194444444444445,0,0.999444444444444,0,0,0.000555555555555556,0.000555555555555543,0.998833333333333,0.00139443337755681,0,0,0.000111111111111111,0.000248451997499977,0.00105555555555556,0.00130880210993219,0.00111111111111111,0.00134657773817121,0,p1,0,FProf1,1,0,1,0,0,0,11111150
5,1.214912744,-0.030459207,1.60743591,-20,4.498920386,-20,-20,1.648658626,-20,-2.079441542,-10.41431318,-4.509860006,-2.353878387,-1.897119985,-3.123565645,-7.775255847,-11.51292546,-12.62158809,-9.755067547,-13.12236338,-20,-11.51292546,-13.633189,-20,-20,-20,-20,-10.81977828,-8.595154733,-9.282911065,-10.20459265,-12.20607265,-14.57053314,-4.034190639,-16.11809565,-20,-12.20607265,-20,-20,-5.298317367,-0.457284857,-3.729701449,-4.017383521,-4.342805922,-3.611918413,-3.540459449,-2.396895772,-1.248273063,-2.071473372,-1.386294361,-3.506557897,-5.521460918,-20,-20,-4.074541935,-20,-20,-20,-20,-20,-1.283737773,-3.352407217,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,p1,0,FProf1,1,0,1,0,0,0,11111160
6,1.223775432,-1.714798428,1.578978705,-20,4.508659286,-20,-20,1.578978705,-20,-1.589635285,-10.1266311,-4.509860006,-2.292634762,-1.795767491,-2.95651156,-7.824046011,-11.41761529,-13.07357321,-8.895529632,-20,-20,-11.51292546,-13.633189,-20,-20,-20,-6.907755279,-10.23199162,-8.873868135,-9.338173743,-10.1266311,-12.20607265,-14.78309458,-4.135166557,-20,-20,-12.20607265,-20,-20,-6.214608098,-2.145581344,-4.710530702,-6.907755279,-6.214608098,-5.521460918,-5.80914299,-4.074541935,-2.937463365,-3.9633163,-3.270169119,-5.298317367,-6.214608098,-20,-20,-4.96184513,-20,-20,-20,-20,-20,-3.057607677,-4.96184513,0,0.992222222222222,0.00111111111111111,0.000555555555555556,0.00611111111111111,0.00694444444444444,0,0.997444444444444,0,0,0.00255555555555556,0.00255555555555554,0,0.999444444444444,0,0,0.000555555555555556,0.000555555555555543,0,0.997222222222222,0.000555555555555556,0,0.00222222222222222,0.0025,0,0.999444444444444,0.000555555555555556,0,0,0.000277777777777766,0.997155555555556,0.00295396782750354,0.000444444444444444,0.000464811125852264,0.000111111111111111,0.000248451997499977,0.00228888888888889,0.00239418018650061,0.00256666666666666,0.00266707172849518,0.000277777777777766,p1,0,FProf5,5,0,0.999444444444444,0.000555555555555556,0,0,11111170
7,1.193922468,0.683096845,1.568615918,-20,4.490993141,-20,-20,1.621366483,-20,-2.120263536,-10.81977828,-4.509860006,-2.385966702,-1.966112856,-3.057607677,-7.641724454,-12.02375109,-12.89921983,-9.808177373,-12.4292162,-20,-10.41431318,-13.633189,-20,-20,-20,-8.517193191,-10.15194891,-8.595154733,-9.293721981,-10.1779244,-12.20607265,-14.45038883,-4.110473944,-15.42494847,-20,-12.20607265,-20,-20,-4.828313737,0.22872793,-2.563949857,-3.218875825,-3.912023005,-3.015934981,-2.900422094,-1.742969305,-0.583396317,-1.414693836,-0.677273831,-2.780620894,-4.828313737,-20,-20,-3.611918413,-20,-6.214608098,-20,-20,-20,-0.579818495,-2.617295838,0,1,0,0,0,0,0,0.999444444444444,0,0,0.000555555555555556,0.000555555555555543,0,0.999444444444444,0.000555555555555556,0,0,0.000277777777777766,0,1,0,0,0,0,0,0.999444444444444,0,0,0.000555555555555556,0.000555555555555543,0.999666666666667,0.000304290309725079,0.000111111111111111,0.000248451997499977,0,0,0.000222222222222222,0.000304290309725092,0.000277777777777771,0.000277777777777772,0,p1,0,FProf1,1,0,1,0,0,0,11112110
8,1.214912744,-0.030459207,1.60743591,-20,4.498920386,-20,-20,1.648658626,-20,-2.079441542,-10.41431318,-4.509860006,-2.353878387,-1.897119985,-3.123565645,-7.775255847,-11.51292546,-12.62158809,-9.755067547,-13.12236338,-20,-11.51292546,-13.633189,-20,-20,-20,-20,-10.81977828,-8.595154733,-9.282911065,-10.20459265,-12.20607265,-14.57053314,-4.034190639,-16.11809565,-20,-12.20607265,-20,-20,-5.298317367,-0.457284857,-3.729701449,-4.017383521,-4.342805922,-3.611918413,-3.540459449,-2.396895772,-1.248273063,-2.071473372,-1.386294361,-3.506557897,-5.521460918,-20,-20,-4.074541935,-20,-20,-20,-20,-20,-1.283737773,-3.352407217,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,p1,0,FProf1,1,0,1,0,0,0,11112120
9,1.193922468,0.683096845,1.568615918,-20,4.490993141,-20,-20,1.621366483,-20,-2.120263536,-10.81977828,-4.509860006,-2.385966702,-1.966112856,-3.057607677,-7.641724454,-12.02375109,-12.89921983,-9.808177373,-12.4292162,-20,-10.41431318,-13.633189,-20,-20,-20,-8.517193191,-10.15194891,-8.595154733,-9.293721981,-10.1779244,-12.20607265,-14.45038883,-4.110473944,-15.42494847,-20,-12.20607265,-20,-20,-4.828313737,0.22872793,-2.563949857,-3.218875825,-3.912023005,-3.015934981,-2.900422094,-1.742969305,-0.583396317,-1.414693836,-0.677273831,-2.780620894,-4.828313737,-20,-20,-3.611918413,-20,-6.214608098,-20,-20,-20,-0.579818495,-2.617295838,0,1,0,0,0,0,0,0.999444444444444,0,0,0.000555555555555556,0.000555555555555543,0,0.999444444444444,0.000555555555555556,0,0,0.000277777777777766,0,1,0,0,0,0,0,0.999444444444444,0,0,0.000555555555555556,0.000555555555555543,0.999666666666667,0.000304290309725079,0.000111111111111111,0.000248451997499977,0,0,0.000222222222222222,0.000304290309725092,0.000277777777777771,0.000277777777777772,0,p1,0,FProf1,1,0,1,0,0,0,11112130
