,Protein,Total Fat,Carbohydrate,Alcohol,Water,Caffeine,Theobromine,"Sugars, total","Fiber, total dietary",Calcium,Iron,Magnesium,Phosphorus,Potassium,Sodium,Zinc,Copper,Selenium,Retinol,"Carotene, beta","Carotene, alpha",Vitamin E (alpha-tocopherol),Vitamin D (D2 + D3),"Cryptoxanthin, beta",Lycopene,Lutein + zeaxanthin,Vitamin C,Thiamin,Riboflavin,Niacin,Vitamin B-6,"Folate, total",Vitamin B-12,"Choline, total",Vitamin K (phylloquinone),Folic acid,"Folate, food","Vitamin E, added","Vitamin B-12, added",Cholesterol,"Fatty acids, total saturated",4:00,6:00,8:00,10:00,12:00,14:00,16:00,18:00,18:01,18:02,18:03,20:04,22:6 n-3,16:01,18:04,20:01,20:5 n-3,22:01,22:5 n-3,"Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated",classf1,p1f1,p2f1,p3f1,p4f1,FProf1,classf2,p1f2,p2f2,p3f2,p4f2,FProf2,classf3,p1f3,p2f3,p3f3,p4f3,FProf3,classf4,p1f4,p2f4,p3f4,p4f4,FProf4,classf5,p1f5,p2f5,p3f5,p4f5,FProf5,p1,std_p1,p2,std_p2,p3,std_p3,p4,std_p4,FPro,std_FPro,min_FPro,max_p,class,min_in_which_fold,min_fold_id,min_class,p1_minFPro,p2_minFPro,p3_minFPro,p4_minFPro,FNDDSNutVal.Food.code
0,-3.91202300542815,-20,-20,-2.30258509299405,-3.29683736633791,-8.60057480035529,-9.28291106481102,-3.27016911925575,1.6094379124341,-7.66277786326017,-9.21034037197618,-20,-5.29831736654804,-5.29831736654804,-20,-20,-5.11599580975408,-13.9958341120956,-16.8731182352364,-18.0842085073312,-17.2575299341467,-10.2319916195082,-20,-15.9783337085832,-14.8233684833639,-15.6543616347262,-8.02249694958013,-10.1266311038503,-12.2060726455302,-20,-20,-17.77882685778,-20,-20,-20,-20,-20,-7.902007552326,-16.8520648260385,-5.7138328105097,0.678033542749897,1.54329810992956,3.91202300542815,-20,4.49233737771375,-20,-20,1.62136648329937,-20,4.76217393479776,-3.50655789731998,2.39789527279837,4.54329478227,5.01063529409626,3.71357206670431,-0.843970070294529,-4.42284862919414,0.916290731874155,4.00733318523247,4.00733318523247,1.09861228866811,-20,3,0.137314814814815,0.165833333333333,0.140396825396825,0.556455026455026,0.709570105820106,3,0.136944444444444,0.18875,0.153888888888889,0.520416666666667,0.691736111111111,3,0.146111111111111,0.182444444444444,0.138148148148148,0.533296296296296,0.693592592592593,3,0.150972222222222,0.180694444444444,0.138518518518519,0.529814814814815,0.689421296296296,3,0.145,0.168333333333333,0.141111111111111,0.545555555555556,0.700277777777778,0.143268518518519,0.00603874805337383,0.177211111111111,0.00975879233193215,0.142412698412698,0.00653475032753153,0.537107671957672,0.0140711484134408,0.696919576719577,0.00814669793953565,0.689421296296296,p4,3,FProf4,4,3,0.150972222222222,0.180694444444444,0.138518518518519,0.529814814814815,11112000
1,-3.50655789731998,-20,-20,-1.6094379124341,-3.24419363285249,-8.59515473288595,-9.29372198091523,-3.27016911925575,1.6094379124341,-7.68428406848113,-8.51719319141624,-20,-5.29831736654804,-5.29831736654804,-20,-20,-4.8283137373023,-13.5867826283562,-16.3794604150927,-17.7275335633924,-16.8314455388358,-9.8081773727318,-20,-15.5584798630229,-14.3989068745651,-15.2302043936059,-7.58699955437309,-9.68837617291918,-11.7360690162844,-20,-20,-17.4274289709421,-20,-20,-20,-20,-20,-7.48757377423508,-16.432806395798,-5.69284253461787,-0.0304592074847086,1.60743590976343,3.73766961828337,-20,4.49892038614538,-20,-20,1.64865862558738,-20,4.77912349311153,-3.50655789731998,2.39789527279837,4.55387689160054,5.01063529409626,3.78418963391826,-0.867500567704723,-4.60517018598809,1.19392246847243,4.06044301054642,4.06044301054642,0.693147180559945,-20,3,0.142314814814815,0.169722222222222,0.158730158730159,0.529232804232804,0.693458994708995,3,0.146055555555556,0.185416666666667,0.159444444444444,0.509083333333333,0.681513888888889,3,0.151666666666667,0.181333333333333,0.149814814814815,0.517185185185185,0.682759259259259,3,0.150972222222222,0.183194444444444,0.150185185185185,0.515648148148148,0.682337962962963,3,0.153240740740741,0.167222222222222,0.147222222222222,0.532314814814815,0.689537037037037,0.14885,0.0045341373954082,0.177377777777778,0.00830431521767857,0.153079365079365,0.00560770435085158,0.520692857142857,0.00975364663748524,0.685921428571429,0.00529515048024619,0.681513888888889,p4,3,FProf2,2,3,0.146055555555556,0.185416666666667,0.159444444444444,0.509083333333333,11112110
2,-4.60517018598809,-20,-20,-20,-3.91202300542815,-8.59515473288595,-9.28291106481102,-3.29683736633791,1.6094379124341,-7.72873583105197,-9.21034037197618,-20,-5.29831736654804,-5.29831736654804,-20,-20,-5.29831736654804,-14.2727954148022,-17.5452120065985,-18.1583164794849,-17.4274289709421,-10.4482147279778,-20,-16.2124063304296,-15.0637836211868,-15.8869839299949,-8.29404964010203,-10.4143131763021,-12.4292161968444,-20,-20,-17.8900524928902,-20,-20,-20,-20,-20,-8.19149305177694,-17.167917775457,-5.7138328105097,0.678033542749897,1.54329810992956,3.91202300542815,-20,4.49233737771375,-20,-20,1.62136648329937,-20,4.76217393479776,-3.50655789731998,2.39789527279837,4.54329478227,5.01063529409626,3.71357206670431,-0.843970070294529,-4.42284862919414,0.916290731874155,4.00733318523247,4.00733318523247,1.09861228866811,-20,3,0.135648148148148,0.177685185185185,0.133174603174603,0.553492063492064,0.708921957671958,3,0.139166666666667,0.19875,0.153888888888889,0.508194444444444,0.684513888888889,3,0.149444444444444,0.186333333333333,0.132592592592593,0.53162962962963,0.691092592592593,3,0.144861111111111,0.195277777777778,0.132962962962963,0.526898148148148,0.691018518518519,3,0.142777777777778,0.175,0.14,0.542222222222222,0.699722222222222,0.14237962962963,0.00528828551128189,0.186609259259259,0.0104526424025774,0.13852380952381,0.00912388567911181,0.532487301587302,0.0170153302051458,0.695053835978836,0.00944966071139799,0.684513888888889,p4,3,FProf2,2,3,0.139166666666667,0.19875,0.153888888888889,0.508194444444444,11112120
3,-3.50655789731998,-20,-20,-1.6094379124341,-3.24419363285249,-8.59515473288595,-9.29372198091523,-3.27016911925575,1.6094379124341,-7.68428406848113,-8.51719319141624,-20,-5.29831736654804,-5.29831736654804,-20,-20,-4.8283137373023,-13.5867826283562,-16.3794604150927,-17.7275335633924,-16.8314455388358,-9.8081773727318,-20,-15.5584798630229,-14.3989068745651,-15.2302043936059,-7.58699955437309,-9.68837617291918,-11.7360690162844,-20,-20,-17.4274289709421,-20,-20,-20,-20,-20,-7.48757377423508,-16.432806395798,-5.69284253461787,-0.0304592074847086,1.60743590976343,3.73766961828337,-20,4.49892038614538,-20,-20,1.64865862558738,-20,4.77912349311153,-3.50655789731998,2.39789527279837,4.55387689160054,5.01063529409626,3.78418963391826,-0.867500567704723,-4.60517018598809,1.19392246847243,4.06044301054642,4.06044301054642,0.693147180559945,-20,3,0.142314814814815,0.169722222222222,0.158730158730159,0.529232804232804,0.693458994708995,3,0.146055555555556,0.185416666666667,0.159444444444444,0.509083333333333,0.681513888888889,3,0.151666666666667,0.181333333333333,0.149814814814815,0.517185185185185,0.682759259259259,3,0.150972222222222,0.183194444444444,0.150185185185185,0.515648148148148,0.682337962962963,3,0.153240740740741,0.167222222222222,0.147222222222222,0.532314814814815,0.689537037037037,0.14885,0.0045341373954082,0.177377777777778,0.00830431521767857,0.153079365079365,0.00560770435085158,0.520692857142857,0.00975364663748524,0.685921428571429,0.00529515048024619,0.681513888888889,p4,3,FProf2,2,3,0.146055555555556,0.185416666666667,0.159444444444444,0.509083333333333,11112130
4,-4.60517018598809,-20,-20,-20,-3.91202300542815,-8.59515473288595,-9.28291106481102,-3.29683736633791,1.6094379124341,-7.72873583105197,-9.21034037197618,-20,-5.29831736654804,-5.29831736654804,-20,-20,-5.29831736654804,-14.2727954148022,-17.5452120065985,-18.1583164794849,-17.4274289709421,-10.4482147279778,-20,-16.2124063304296,-15.0637836211868,-15.8869839299949,-8.29404964010203,-10.4143131763021,-12.4292161968444,-20,-20,-17.8900524928902,-20,-20,-20,-20,-20,-8.19149305177694,-17.167917775457,-5.69284253461787,-2.52572864430826,1.60140574073684,3.52636052461616,-20,4.50909971723736,-20,-20,1.62727783056243,-20,4.8283137373023,-3.50655789731998,2.39789527279837,4.61512051684126,5.04985600724954,3.73766961828337,-0.867500567704723,-4.3428059215206,1.1314021114911,4.11087386417331,4.11087386417331,-20,-20,3,0.152064814814815,0.173240740740741,0.128730158730159,0.545964285714286,0.696949735449735,3,0.148611111111111,0.193305555555556,0.153888888888889,0.504194444444444,0.677791666666667,3,0.160555555555556,0.186333333333333,0.123148148148148,0.529962962962963,0.684703703703704,3,0.157638888888889,0.1925,0.133518518518519,0.516342592592593,0.679351851851852,3,0.157361111111111,0.172222222222222,0.137222222222222,0.533194444444445,0.687916666666667,0.155246296296296,0.00480969546218443,0.18352037037037,0.0102178189321958,0.135301587301587,0.0116538160038521,0.525931746031746,0.0160838606084625,0.685342724867725,0.0076593938815581,0.677791666666667,p4,3,FProf2,2,3,0.148611111111111,0.193305555555556,0.153888888888889,0.504194444444444,11112210
5,-4.60517018598809,-20,-20,-20,-3.10109278921182,-8.61150387088748,-9.27221577569427,-3.29683736633791,1.6094379124341,-7.54263355141811,-20,-20,-5.29831736654804,-5.29831736654804,-20,-20,-6.21460809842219,-15.9610919021487,-19.3369714758265,-20,-20,-13.8155105579643,-20,-18.6438242952666,-17.5043900120782,-18.5260412596102,-10.9251388000681,-13.1223633774043,-13.8155105579643,-20,-20,-19.6246535482783,-20,-20,-20,-20,-20,-9.96536295625422,-18.7773556878911,-5.70478297498978,1.22377543162212,1.55603713570699,4.14313472639153,-20,4.47426391614029,-20,-20,1.55603713570699,-20,4.85203026391962,-2.99573227355399,2.56494935746154,4.57471097850338,4.93447393313069,4.04305126783455,-1.02165124753198,-4.60517018598809,0.693147180559945,0.693147180559945,0.693147180559945,-20,-20,3,0.123472222222222,0.236296296296296,0.09,0.550231481481482,0.71337962962963,3,0.128888888888889,0.246990740740741,0.0888888888888889,0.535231481481481,0.703171296296296,3,0.134444444444444,0.253,0.0805555555555556,0.532,0.698777777777778,3,0.125555555555556,0.249,0.0883333333333333,0.537111111111111,0.705777777777778,3,0.123888888888889,0.234444444444444,0.0744444444444444,0.567222222222222,0.721666666666667,0.12725,0.00455208200906837,0.243946296296296,0.00814840172164357,0.0844444444444444,0.00672428802050567,0.544359259259259,0.0145413319321904,0.70855462962963,0.00904826166148229,0.698777777777778,p4,3,FProf3,3,3,0.134444444444444,0.253,0.0805555555555556,0.532,11113000
6,-2.04022082852655,-20,-20,-0.105360515657826,-3.50655789731998,-9.00332620259186,-9.34960243930969,-3.2188758248682,1.6094379124341,-7.98656494035407,-7.13089883029635,-20,-5.29831736654804,-5.29831736654804,-20,-20,-6.21460809842219,-12.683785917846,-20,-15.5699742424486,-15.8557313864908,-6.19137997230298,-20,-14.7343044200565,-15.4709924088998,-15.7260535631823,-9.21034037197618,-11.7360690162844,-20,-20,-20,-20,-20,-20,-20,-20,-20,-9.21034037197618,-18.4206807439524,-5.70478297498978,1.22377543162212,1.55603713570699,4.14313472639153,-20,4.47426391614029,-20,-20,1.55603713570699,-20,4.85203026391962,-2.99573227355399,2.56494935746154,4.57471097850338,4.93447393313069,4.04305126783455,-1.02165124753198,-4.60517018598809,0.693147180559945,0.693147180559945,0.693147180559945,-20,-20,3,0.145324074074074,0.178611111111111,0.156111111111111,0.519953703703704,0.687314814814815,3,0.140740740740741,0.198583333333333,0.167777777777778,0.492898148148148,0.676078703703704,3,0.137777777777778,0.209157407407407,0.157592592592593,0.495472222222222,0.678847222222222,3,0.144166666666667,0.196660052910053,0.157222222222222,0.501951058201058,0.678892195767196,3,0.148518518518519,0.186111111111111,0.146666666666667,0.518703703703704,0.685092592592593,0.143305555555556,0.0041570877547657,0.193824603174603,0.0117975471406863,0.157074074074074,0.00748501016893637,0.505795767195767,0.0127942168207748,0.681245105820106,0.00473345180706853,0.676078703703704,p4,3,FProf2,2,3,0.140740740740741,0.198583333333333,0.167777777777778,0.492898148148148,11114000
7,-2.04022082852655,-20,-20,-0.105360515657826,-3.50655789731998,-9.00332620259186,-9.34960243930969,-3.2188758248682,1.6094379124341,-7.98656494035407,-7.13089883029635,-20,-5.29831736654804,-5.29831736654804,-20,-20,-6.21460809842219,-12.683785917846,-20,-15.5699742424486,-15.8557313864908,-6.19137997230298,-20,-14.7343044200565,-15.4709924088998,-15.7260535631823,-9.21034037197618,-11.7360690162844,-20,-20,-20,-20,-20,-20,-20,-20,-20,-9.21034037197618,-18.4206807439524,-5.68104298768671,0.0769610411361284,1.59127394180643,3.76120011569356,-20,4.4972508437686,-20,-20,1.59127394180643,-20,4.78749174278205,-3.50655789731998,2.39789527279837,4.51085950651685,5.12989871492307,3.95124371858143,-0.967584026261706,-4.60517018598809,0.955511445027436,0,0,-20,-20,3,0.148657407407407,0.174722222222222,0.156111111111111,0.520509259259259,0.685925925925926,3,0.140962962962963,0.197472222222222,0.171666666666667,0.489898148148148,0.674467592592593,3,0.137222222222222,0.208601851851852,0.16037037037037,0.493805555555556,0.678291666666667,3,0.144722222222222,0.195548941798942,0.156666666666667,0.503062169312169,0.679169973544974,3,0.149768518518519,0.185555555555556,0.146111111111111,0.518564814814815,0.684398148148148,0.144266666666667,0.00525107523772639,0.192380158730159,0.0128207990652661,0.158185185185185,0.00920484008186914,0.505167989417989,0.0139779909595236,0.680450661375661,0.00468133808996995,0.674467592592593,p4,3,FProf2,2,3,0.140962962962963,0.197472222222222,0.171666666666667,0.489898148148148,11114100
8,-20,-20,-20,-0.510825623765991,-3.24419363285249,-8.83190393625594,-9.31570088763401,-3.38139475436598,1.6094379124341,-7.87533930524384,-20,-20,-5.29831736654804,-5.29831736654804,-20,-20,-6.21460809842219,-13.9032494722723,-19.6246535482783,-16.3925324966601,-16.5961314519013,-7.70848767022202,-20,-15.5471161043726,-16.0693054867889,-17.1397468984903,-9.5114454647601,-10.8197782844103,-13.8155105579643,-20,-20,-20,-20,-20,-20,-20,-20,-9.47170513611059,-17.678743399223,-5.69284253461787,-0.0304592074847086,1.60743590976343,3.73766961828337,-20,4.49892038614538,-20,-20,1.64865862558738,-20,4.77912349311153,-3.50655789731998,2.39789527279837,4.55387689160054,5.01063529409626,3.78418963391826,-0.867500567704723,-4.60517018598809,1.19392246847243,4.06044301054642,4.06044301054642,0.693147180559945,-20,3,0.13,0.1775,0.128174603174603,0.564325396825397,0.717162698412698,3,0.133055555555556,0.190138888888889,0.144444444444444,0.532361111111111,0.699652777777778,3,0.142222222222222,0.186888888888889,0.128333333333333,0.542555555555556,0.700166666666667,3,0.134444444444444,0.18962962962963,0.13,0.545925925925926,0.705740740740741,3,0.130462962962963,0.168888888888889,0.126111111111111,0.574537037037037,0.722037037037037,0.134037037037037,0.00492945779815726,0.182609259259259,0.00920121249539753,0.131412698412698,0.00741445715174935,0.551941005291005,0.0171142769854988,0.708951984126984,0.0101563227157999,0.699652777777778,p4,3,FProf2,2,3,0.133055555555556,0.190138888888889,0.144444444444444,0.532361111111111,11114200
9,-4.60517018598809,-20,-20,-20,-3.91202300542815,-8.59515473288595,-9.28291106481102,-3.29683736633791,1.6094379124341,-7.72873583105197,-9.21034037197618,-20,-6.87819647674059,-5.43070655459378,-4.97768419395657,-2.65926003693278,-20,-9.3438717646007,-20,-11.8854394729387,-20,-3.44201937618241,-20,-17.3220684552843,-12.7168982692962,-11.176453228349,-2.97592964625781,-4.07454193492592,-8.67971212091401,-9.86426683938285,-6.31996861408002,-9.72116599574217,-9.70463669379096,-20,-11.869600408909,-20,-16.3412392022725,-20,-20,-5.29831736654804,-4.26869794936688,-3.32423634052603,-1.73160554640831,-4.50986000618377,1.6094379124341,-2.99573227355399,-1.20397280432594,-20,1.6094379124341,1.6094379124341,-20,-20,2.63905732961526,0.697637085832797,-20,-20,-20,-2.7646205525906,-1.36257783450257,-1.13631415585212,-0.08446915662645,-1.22758266996507,3,0.161111111111111,0.132777777777778,0.17,0.536111111111111,0.6875,3,0.13962962962963,0.131944444444444,0.168333333333333,0.560092592592593,0.710231481481481,3,0.160833333333333,0.13662962962963,0.163888888888889,0.538648148148148,0.688907407407407,3,0.15037037037037,0.134722222222222,0.160694444444444,0.554212962962963,0.701921296296296,3,0.168416666666667,0.145555555555556,0.176805555555556,0.509222222222222,0.670402777777778,0.156072222222222,0.0112173287216179,0.136325925925926,0.00546893270809821,0.167944444444444,0.00616250485187498,0.539657407407407,0.0198075510223609,0.691792592592593,0.0152221720255773,0.670402777777778,p4,3,FProf5,5,3,0.168416666666667,0.145555555555556,0.176805555555556,0.509222222222222,11114300
