Calculated,Feature
Logit p,Protein
Logit p,Total.Fat
Logit p,Carbohydrate
Logit p,Alcohol
Logit p,Water
Logit p,Caffeine
Logit p,Theobromine
Logit p,Sugars..total
Logit p,Fiber..total.dietary
Logit p,Calcium
Logit p,Iron
Logit p,Magnesium
Logit p,Phosphorus
Logit p,Potassium
Logit p,Sodium
Logit p,Zinc
Logit p,Copper
Logit p,Selenium
Logit p,Retinol
Logit p,Carotene..beta
Logit p,Carotene..alpha
Logit p,Vitamin.E..alpha.tocopherol.
Logit p,Vitamin.D..D2...D3.
Logit p,Cryptoxanthin..beta
Logit p,Lycopene
Logit p,Lutein...zeaxanthin
Logit p,Vitamin.C
Logit p,Thiamin
Logit p,Riboflavin
Logit p,Niacin
Logit p,Vitamin.B.6
Logit p,Folate..total
Logit p,Vitamin.B.12
Logit p,Choline..total
Logit p,Vitamin.K..phylloquinone.
Logit p,Folic.acid
Logit p,Folate..food
Logit p,Vitamin.E..added
Logit p,Vitamin.B.12..added
Logit p,Cholesterol
Logit p,Fatty.acids..total.saturated
Logit p,X4.00
Logit p,X6.00
Logit p,X8.00
Logit p,X10.00
Logit p,X12.00
Logit p,X14.00
Logit p,X16.00
Logit p,X18.00
Logit p,X18.01
Logit p,X18.02
Logit p,X18.03
Logit p,X20.04
Logit p,X22.6.n.3
Logit p,X16.01
Logit p,X18.04
Logit p,X20.01
Logit p,X20.5.n.3
Logit p,X22.01
Logit p,X22.5.n.3
Logit p,Fatty.acids..total.monounsaturated
Logit p,Fatty.acids..total.polyunsaturated
Logit p,min_FPro
N,NA food codes
N,A food codes
m(NA) - m(A),Protein
m(NA) - m(A),Total.Fat
m(NA) - m(A),Carbohydrate
m(NA) - m(A),Alcohol
m(NA) - m(A),Water
m(NA) - m(A),Caffeine
m(NA) - m(A),Theobromine
m(NA) - m(A),Sugars..total
m(NA) - m(A),Fiber..total.dietary
m(NA) - m(A),Calcium
m(NA) - m(A),Iron
m(NA) - m(A),Magnesium
m(NA) - m(A),Phosphorus
m(NA) - m(A),Potassium
m(NA) - m(A),Sodium
m(NA) - m(A),Zinc
m(NA) - m(A),Copper
m(NA) - m(A),Selenium
m(NA) - m(A),Retinol
m(NA) - m(A),Carotene..beta
m(NA) - m(A),Carotene..alpha
m(NA) - m(A),Vitamin.E..alpha.tocopherol.
m(NA) - m(A),Vitamin.D..D2...D3.
m(NA) - m(A),Cryptoxanthin..beta
m(NA) - m(A),Lycopene
m(NA) - m(A),Lutein...zeaxanthin
m(NA) - m(A),Vitamin.C
m(NA) - m(A),Thiamin
m(NA) - m(A),Riboflavin
m(NA) - m(A),Niacin
m(NA) - m(A),Vitamin.B.6
m(NA) - m(A),Folate..total
m(NA) - m(A),Vitamin.B.12
m(NA) - m(A),Choline..total
m(NA) - m(A),Vitamin.K..phylloquinone.
m(NA) - m(A),Folic.acid
m(NA) - m(A),Folate..food
m(NA) - m(A),Vitamin.E..added
m(NA) - m(A),Vitamin.B.12..added
m(NA) - m(A),Cholesterol
m(NA) - m(A),Fatty.acids..total.saturated
m(NA) - m(A),X4.00
m(NA) - m(A),X6.00
m(NA) - m(A),X8.00
m(NA) - m(A),X10.00
m(NA) - m(A),X12.00
m(NA) - m(A),X14.00
m(NA) - m(A),X16.00
m(NA) - m(A),X18.00
m(NA) - m(A),X18.01
m(NA) - m(A),X18.02
m(NA) - m(A),X18.03
m(NA) - m(A),X20.04
m(NA) - m(A),X22.6.n.3
m(NA) - m(A),X16.01
m(NA) - m(A),X18.04
m(NA) - m(A),X20.01
m(NA) - m(A),X20.5.n.3
m(NA) - m(A),X22.01
m(NA) - m(A),X22.5.n.3
m(NA) - m(A),Fatty.acids..total.monounsaturated
m(NA) - m(A),Fatty.acids..total.polyunsaturated
m(NA) - m(A),min_FPro
EM,Protein
EM,Total.Fat
EM,Carbohydrate
EM,Alcohol
EM,Water
EM,Caffeine
EM,Theobromine
EM,Sugars..total
EM,Fiber..total.dietary
EM,Calcium
EM,Iron
EM,Magnesium
EM,Phosphorus
EM,Potassium
EM,Sodium
EM,Zinc
EM,Copper
EM,Selenium
EM,Retinol
EM,Carotene..beta
EM,Carotene..alpha
EM,Vitamin.E..alpha.tocopherol.
EM,Vitamin.D..D2...D3.
EM,Cryptoxanthin..beta
EM,Lycopene
EM,Lutein...zeaxanthin
EM,Vitamin.C
EM,Thiamin
EM,Riboflavin
EM,Niacin
EM,Vitamin.B.6
EM,Folate..total
EM,Vitamin.B.12
EM,Choline..total
EM,Vitamin.K..phylloquinone.
EM,Folic.acid
EM,Folate..food
EM,Vitamin.E..added
EM,Vitamin.B.12..added
EM,Cholesterol
EM,Fatty.acids..total.saturated
EM,X4.00
EM,X6.00
EM,X8.00
EM,X10.00
EM,X12.00
EM,X14.00
EM,X16.00
EM,X18.00
EM,X18.01
EM,X18.02
EM,X18.03
EM,X20.04
EM,X22.6.n.3
EM,X16.01
EM,X18.04
EM,X20.01
EM,X20.5.n.3
EM,X22.01
EM,X22.5.n.3
EM,Fatty.acids..total.monounsaturated
EM,Fatty.acids..total.polyunsaturated
EM,min_FPro
